Job_Id,Emp_Type,Job_Title,Company,Date_Posted,Year_Experience,Seniority,Category,Requirements,Min_Salary,Max_Salary,Avg_Salary,Salary_range,Qualification,New_Skills
MCF-2020-0071809,Permanent,Data Scientist,IBM INNOVATION SERVICES PTE. LTD.,Posted 26 Mar 2020,3,Professional,Information Technology,You lead designing processes analyse structured unstructured data sources insights Collaborate services subject matter experts (SMEs) drive analytical You enable ensuring applying data intelligence Identify new data sources interpret findings analysis experiments IBM teams stakeholders Develop models analysis across range Quote Cash functions Design tracking actions analyse impact business outcomes implementation deployment analytics Design efficient Spark Monitor Spark performance A Degree quantitative field (Statistics Mathematics Operations Research Economics Bioinformatics Computer Science ). A research quantitative field plus. 3-5 working data sets models Strong statistical Excellent understanding machine learning techniques algorithms Logistic Regression Decision Trees Random Forrest Support Vector Machines Clustering Expertise various data ( .e. CRISP-DM & engineering well evaluation validation) Experience libraries R Python (NumPy Pandas Scikit) SQL noSQL Scala Weka MatLab Experience data visualization techniques tools Cognos Analytics Tableau Plotly Familiarity data science limited IBM Cloud products (e.g. Watson Assistant Watson Studio Bluemix ) Knowledge data mining data Great communication (oral written) strong player Ability techniques fast- Ability problems Experience NoSQL databases Cloudant MongoDB Cassandra HBase Experience tools like Hadoop stack Spark Pig Hive . Experience working Linux scripting languages Bash Experience Deep Learning frameworks TensorFlow Caffe CNTK Torch DL4J,6500.0,12000.0,9250.0,High,%degree%computer science%engineering%statistic%math%business,python%scala%hadoop%sql%spark%tensorflow%scikit%linux%caffe%deep learning%cassandra%tableau%pandas%hive%machine learning%bash%cloud%bash
MCF-2020-0072203,Permanent,Data Engineer,PUMAS AUTOMATION & ROBOTICS PTE LTD,Posted 26 Mar 2020,2,Professional,Consulting Engineering Information Technology,Develop architecture IIoT data ingestion processing solutions. Provide customers data analytics intelligence. Engineer infrastructure big- real- detection . Background computer science engineering. Ability data . Deep predictive data analytics. Industry data science -structured non- . Good Python . Additional JavaScript REST Java .net plus. Good understanding software development life cycle requirements testing deployment. Sound Machine Learning (ML) building Deep Learning (DL) models plus. Experience plus. Exposure Big eg. Cassandra Hadoop Apache Spark. Previous exposure IaaS platforms Azure Google AWS.,3500.0,6000.0,4750.0,Med,%computer science%engineering,python%java%scala%hadoop%spark%deep learning%apache%aws%azure%cassandra%machine learning%.net
MCF-2020-0072360,Contract Permanent,Senior Research Engineer (Computer Science),NANYANG TECHNOLOGICAL UNIVERSITY,Posted 26 Mar 2020,5,Manager,Information Technology,Data mining documents insights identify patterns Design intelligence (AI) machine learning (ML) engines - experiments Application AI ML information retrieval (IR) Conduct research apply state- - - scale real Documentation Mentoring PhD computer science Minimum 5 software development Experience background AI ML data science Passionate AI- applications Proficient one programming languages (e.g. Python C/C++ .) /modules Experience large- processing analytics Good publication,5500.0,8250.0,6875.0,High,phd%computer science,python%c++%machine learning
MCF-2020-0071969,Contract Permanent,Senior Research Engineer (Computer Science),NANYANG TECHNOLOGICAL UNIVERSITY,Posted 26 Mar 2020,5,Manager,Information Technology,Design language processing (NLP) algorithms models analysis e.g. - resolution Application NLP information retrieval (IR) Conduct research apply state- - - scale real Documentation Mentoring PhD computer science Minimum 5 software development Experience background NLP Passionate NLP AI applications Proficient one programming languages (e.g. Python C/C++ .) /modules Experience large- processing analytics Good publication,5500.0,8250.0,6875.0,High,phd%computer science,python%nlp%c++%natural language
MCF-2020-0071269,Permanent,Software Architect (Data Science),YOJEE PTE. LTD.,Posted 25 Mar 2020,2,Executive,Engineering,Prototyping & learning algorithms cutting problems finding planning NP- . Build maintain scalable data pipeline data . Basic preparation. Build analysis visualisation . Build solutions Big Data technologies data respond real time. Minimum Bachelor Degree Computer Science Computer Engineering equivalent . Minimum 2 machine learning data analysis. Proficient software programming database Python Scala Java SQL scikit-learn MapReduce Spark Apache Hadoop. Knowledge Big Data Frameworks Spark Hadoop . Proficient statistical models Regression Clustering Classification . Experience working agile software development practices. Ability distributed . Singaporeans PRs apply position. Scikit-learn. Machine learning . Scala Java. Proficient statistical models Regression Clustering Classification .,5700.0,7400.0,6550.0,High,%degree%computer science%engineering%statistic%computer engineering%business,python%java%scala%hadoop%sql%spark%scikit%apache%mapreduce%agile%machine learning
MCF-2020-0070847,Permanent,Manager (Data Security) (JD#5939),SCIENTE INTERNATIONAL PTE. LTD.,Posted 25 Mar 2020,5,Manager,Information Technology,Degree Computer Science Engineering Information Technology Information Security Data Science Minimum 3 relevant Data standards Good Information Security Governance Risk Management Compliance Regulatory Knowledge challenges Some Ability articulate enterprise data vision translate steps Well stakeholder management excellent communication Should proactive . CISSP CISM CISA Experience data science data platforms. Design implement data processes Work Data Security policies support Enterprise Data Ecosystem Ensure enterprise assess risk ( ) involved Understand data flows/ data sources support enhancement transformation data use Engage stakeholders practices Work Security Practitioners .,4500.0,8000.0,6250.0,High,%degree%computer science%engineering,
MCF-2020-0070901,Contract Permanent,Data Scientist (Scientific Infrastructure and Analytics) ICES,A*STAR RESEARCH ENTITIES,Posted 25 Mar 2020,2,Non-executive,Sciences  Laboratory  R&D,Work researchers establish data model chemistry/process development Collaborate IT establish data completeness data. Apply build analytics scientific . Work management develop strategy limited identifying needed chemistry/ search visualizations self-service. Work researchers create ICES Act application process modeling support catalyst chemistry/process development. Support building data- data- data- analysis Be methods apply business techniques models Actively internal external business IT network PhD Masters Degree Science Computer Science . (Experience 2-5 (PhD) 5 (Masters) Ability operations technology problems apply high degree innovation. Working large data management analysis well strategies visualization communication Strong foundation statistical data management data visualization science. Knowledge programming languages platforms R Python JAVA C++ Python .NET SQL Working artificial including Artificial Neural Networks (ANNs) Genetic Algorithms (GAs) Swarm Intelligence Multi-objective Optimizations Fuzzy Logic Systems Good understanding chemistry desirable Excellent communication oral written Flexibility demands responsibilities Ability plan/ tasks documentation Ability efficiently multi- -,4500.0,9000.0,6750.0,High,phd%master%degree%computer science%engineering%statistic%business,python%java%sql%c++%optimization%.net
MCF-2020-0071259,Permanent,Manager Digital Experience - Global Finance,JOHNSON & JOHNSON PTE. LTD.,Posted 25 Mar 2020,5,Manager,Information Technology,Identify user requirements project developers Formulate use Develop Human Centric experiences Understanding data Science capabilities Recommendation Engine collaboration Manage engage SMEs internal stakeholders IT development partners Drive innovation experimentation Iterative testing Work stakeholders management resolution Define management Maintain features Digital Platform Governance Keep - -date trends space data analytics data science 5 8 relevant UX human- Experience Design Thinking / Human- Design Operational -set data problem-solving complexity Proven track record ownership . Ability variety Exceptional interpersonal communication ( written verbal) . Experience technical non- across Energetic problem-solving deal point necessary Working BI platform Strong program Strong sense ownership done Good -functional Advanced quantitative analytical Structured thinking strong problem- Result oriented driven Working understanding Agile methodology Individual preferred must Ability lead teamwork drive common goals achievements Good written,8000.0,16000.0,12000.0,High,,%scala%git%agile
MCF-2020-0071117,Permanent,Lead Data Scientist (Fintech),MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Posted 25 Mar 2020,7,Manager,Consulting Information Technology Sciences  Laboratory  R&D,Lead development validation high- machine features solutions real- Contribute product features Guide mentor multi-disciplined Data Science Data Engineering research-oriented implementation scale Work fast-paced environment communicate effectively Working Singapore needed 7 relevant including 1 exposure FinTech Minimum Masters PhD equivalent quantitative field (Computer Science Mathematics Engineering Artificial Intelligence .) Advanced statistical machine learning models: Logistic Regression Support Vector Machines XGBoost Deep Learning models (CNNs/RNNs) Proficient scikit-learn Python Pandas Hadoop Spark SQL . Proficiency Amazon Web Services Proficiency Neo4J OrientDB AllegroGraph JanusDB . Additional proficiency Natural Language Processing Additional proficiency Keras TensorFlow Caffe Torch/PyTorch Spark MLlib Deep Learning framework Track record delivering end end.,8000.0,10000.0,9000.0,High,phd%master%computer science%engineering%statistic%math,python%hadoop%sql%spark%tensorflow%scikit%pytorch%caffe%deep learning%pandas%machine learning%natural language%keras
MCF-2020-0071562,Contract Permanent,Digital Product Specialist (Banking),OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Posted 25 Mar 2020,8,Professional,Information Technology,Masters fundamentals capabilities CUSTOMER JOURNEY .e. Customer Experience & Journey optimization Products Services Channel / Segment Optimization Business IT Delivery Develops phases products services well New product/ service product/ lead . (New) risk compliance Improvements new ideas implementations. Customer Uses / technical expertise contribute events ( ) Applies / service develop maintain customers Keeps track developments ( area methods ) Weighs development new products services sub-products. Initiates Prioritizes role Digital Studio lead Monitors requirements Minimum 7-10 banking project understanding Minimum 3-5 requirements user engineering data science software engineering Background UX preferred Experience Product Owner / Product Manager Strong software development lifecycle Experience Agile methodologies Strong leadership Excellent communication presentation high degree comfort speaking Must player Strong analytical quantitative Demonstrated think Brings high-energy job influence around Able build sense comfortable & Passion innovation attitude,10000.0,12000.0,11000.0,High,%master%degree%engineering%business,%git%agile%optimization
