,Job_Id,Emp_Type,Job_Title,Company,Date_Posted,Salary_Range,Salary_Type,Year_Experience,Seniority,Category,Requirements
0,[b'MCF-2020-0052915'],"[b'Permanent, Full Time']",[b'Sen. Risk Management Data Scientist #147467'],[b'CREDIT SUISSE SERVICES AG'],[b'Posted 03 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$9,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$15,000</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Manager'],"[b'Banking and Finance, Information Technology']","['\nA department which values Diversity and Inclusion (D&I) and is committed to realizing the firm’s D&I ambition which is an integral part of our Global Conduct and Ethics Standards.\nOpportunity to become part of highly motivated Analytics team for Credit Suisse based in Singapore focusing on building and driving analytical capabilities in creating forward looking and externally aware, predictive risk based return insights.\nBuilding capability and analytics talent who can conduct rapid diagnostics, inject analytical rigor to risk monitoring solutions.\nDeveloping the analytic solution suites and partner with IT to develop associated infrastructure that can be used cross regions and businesses.\nDeveloping consistent and scalable analytical approaches (descriptive analytics, statistical predictive modeling and machine learning) appropriate for specific markets, product lines and risk types.\nResponsibility for developing, maintaining and extracting knowledge from strategic internal and external data sets.\nStudying fundamental and high impact business questions that directly affect the direction of the company and the industry at large.\nDeveloping and designing algorithms, building prototype versions, running multiple validations with business experts and working on their operationalization.\nCollaboratively work in a team with a strong team spirit in a fast paced dynamic and flexible working environment.\n, \nAt least 5 years financial industry experience in risk-related discipline (market/credit/enterprise). Experience covering multiple risk types will be added advantage.\nHold a PhD or Master’s degree in a quantitative field (e.g. Data Science, Machine Learning, Statistics, Mathematics, and Physics), Computer Science or an equivalent education\nAt least 3-5 years of experience in applying statistical modelling, machine learning and / or exploratory analysis to large datasets: classification, Machine Learning algorithms both Supervised and Unsupervised with Experience in Natural Language Processing (NLP) and/or knowledge extraction from unstructured data being mandatory.\nProficient in at least one of the following: Python, PySpark, SQL and have experience in using big data platforms including the development of big data pipelines, relational database programming and distributed data processing at scale e.g. Spark or Hive.\nOutstanding written, verbal communication skills and business partner management capabilities, ability to effectively collaborate and build positive relationships across all levels while maintaining integrity, responsibility and confidentiality required when dealing with sensitive data.\nExperience leading a team and possess experience as an ambitious individual and who can contribute in a highly collaborative environment to achieve success for the team. High level of integrity, sense of urgency, attention to detail and quality standards. You should be able to take on added responsibilities as required and become a knowledge carrier within the team.\nUnderstand the value of diversity in the workplace and is dedicated to fostering an inclusive culture in all aspects of working life so that people from all backgrounds receive equal treatment, realize their full potential and can bring their full, authentic selves to work. This should be further elaborated on in your application.\n']"
1,[b'MCF-2020-0052338'],[b'Full Time'],[b'Senior Data Scientist (188079)'],[b'SIEMENS MOBILITY PTE. LTD.'],[b'Posted 03 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$7,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$10,500</span></div>']",[b'Monthly'],[b'4 years  exp'],[b'Senior Executive'],"[b'Engineering, Information Technology']","['\nCollaborate with Product Owners to develop a product data-driven strategy.\nUnderstand the competitive marketplace, business issues, and data challenges in order to deliver actionable insights, recommendations, and business processes.\nWork in a collaborative team environment with other highly skilled specialists in statistics, machine learning, and software engineering.\nResearch new modeling algorithms, languages, packages, and statistical tools to enhance the overall productivity of the team.\nDesign and implement experiments to test various hypotheses.\nDrive and lead data science related products.\nCommunicate complex solutions in a clear and understandable way to both experts and non-experts.\nPromote a Data-driven customer centric culture at Siemens.\n, \nMinimum 4 years of experience in a relevant role.\nStrong knowledge and proven hands-on experience in personalization and information retrieval projects.\nExperience collaborating with Developers, UX Experts, Product Owners, etc.\nStrong working knowledge of, Python, Hadoop. Spark, SQL, or R.\nWorking experience with cloud services such as AWS or Azure.\nExposure/ experience to tools & Infrastructure such as Jenkins, GITHUB, Eclipse…Experience working in an Agile development environment\nExcellent communication skills; the ability to convey complex analysis results clearly and with conviction to all levels of technical and non-technical stakeholders.\nInterest and experience in coaching, mentoring and the ability to grow into a leadership role.\nPromote communication and collaboration.\nTransfer knowledge to younger data scientists.\nMS or PhD in a quantitative discipline: Computer Science, Statistics, Applied Mathematics, Operations Research, Engineering, Economics, etc.\n']"
2,[b'MCF-2020-0052744'],[b'Contract'],[b'DATABASE CONSULTANT'],[b'CAPITA PTE. LTD.'],[b'Posted 03 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$6,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$9,000</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Senior Executive'],[b'Information Technology'],"[""\nDesign and implement scalable and robust software platform for ingesting and transforming telco network\xa0datasets in (near) real-time\xa0and visualizing the data insights through an\xa0interactive dashboard, using a variety of open-source and proprietary Big Data\xa0technologies\nCollaborate with product management, sales and marketing, and solution delivery teams to ensure customer requirements are well\xa0managed and reflected in product releases\nSupport the deployment of software within clients' IT environment\nworking closely with senior data engineers and data scientists to build clients’s data science and machine learning algorithms into products\nDegree\xa0qualified in Computer Science, Computer Engineering, or\xa0equivalent\nDemonstrated practical in-depth knowledge of data integration, metadata and BI\xa0analytics tools, frequently used by telcos\nExperience in active commercial deployment of emerging Big Data\xa0technologies and real-time analytics\nGood understanding of Telco data models.\nKnowledge about telco network capabilities\nSQL and Relational Database Management System\nParallel programming (Hadoop, HDFS, HBase, Hive, Spark etc.)\nGraph-based database programming (Neo4j)\nJava, Python, Amazon AWS\nAgile software development practices\nMobile app\xa0programming (iOS and Android)\n""]"
3,[b'MCF-2020-0052154'],"[b'Permanent, Full Time']",[b'IT Senior Software Engineer'],[b'POWERTECH TECHNOLOGY (SINGAPORE) PTE. LTD.'],[b'Posted 03 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$5,100</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Senior Executive'],[b'Information Technology'],"['\nPlan, Design and Develop IT Systems for semicon production processes\nCollect user requirements for new IT solutions and enhancement of existing users\nProject design by creating new system architecture, data flows and table schema\nEngage in all phases of software development life cycle to work on modules of large scale systems\nProvide troubleshooting & helpdesk function to ensure the smooth operation of the MES IT system\nSoftware development using C#, VB.NET, Jquery, ASP.NET, Oracle and MSSQL to enhance the current MES system\nIT internal testing and user acceptance testing before releasing new program to the live environment\nFollow professional project management methodologies at all time to deliver project quality to users\nOther duties as assigned by the IT manager including the possibility to learn other IT disciplines\n, \nBachelors or Master in Engineering, Data Science , Computer Science, Computer Engineering or related field of study\n5 – 10 years of software development experience in semicon industry with experience on leading and developing large scale projects\nExperienced in database and data structure design in Oracle and MSSQL databases\nHave semiconductor turnkey process and data flow experience and able to define system requirements\nMust possess good programming experience to create new system architecture from experience\nGood team worker and able to guide junior team members\n']"
4,[b'JOB-2020-0000620'],[b'Permanent'],"[b'Assistant Director  /  Senior Manager  /  Manager (Data Strategy), Government Data Office']",[b'SMART NATION AND DIGITAL GOVERNMENT OFFICE'],[b'Posted 02 Mar 2020'],"[b'<span class=""f5-5 i fw4 gray"">Salary undisclosed</span>']",[b''],[],[b''],[b'Public / Civil Service'],"[' 1-4 years of working experience in conceptualising and/or implementing data-related initiatives and policies Background in Data Science, Data Analytics, Computer Science or related fields Strong communication and interpersonal skills that can create a consensus on action from a wide spectrum of external and internal stakeholders; including multi-agency and inter-departmental teams Resourceful and proactive, particularly in proposing alternate solutions to achieve desired outcomes Analytical and creative Excellent written communication skills ']"
5,[b'MCF-2020-0051772'],[b'Full Time'],"[b'VP, Data Scientist (NLP &amp; ML), Institutional Banking Group Operations, Technology &amp; Operations (WD07915)']",[b'DBS BANK LTD.'],[b'Posted 02 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$10,400</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$18,700</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Senior Management'],[b'Information Technology'],"['\nMaximize Data capabilities focusing on customer/ employee science in areas such as predictive/ prescriptive/text analytics across corporate banking products/ processes and customer servicing (Chatbot)\nDeliver analytics initiatives to address business problems with the ability to determine data required, assess time & effort required and establish a project plan. To manage other digital instrumentation projects undertaken by the team, and be accountable for their delivery (includes planning, prioritization, scope, risk/ issues management)\nConduct strategic data analysis, identify insights and implications from institutional data and make strategic recommendations to executive and senior staff, develop data displays that clearly communicate complex analysis\nTest the solution with real live data & present the results to senior management for approvals\nImplement the solution and support the Technology team to deploy the solution to production\nFacilitate to drive up adoption / embedding data in use of operations/ servicing/ journey design\nHighly self-driven and operate under “Agile” methodology & able to perform end-to-end development from requirements gathering, to design, development, testing then deployment.\nPrepare project updates report and communicate projects benefits & progress to management team or business stakeholders\nEngage with the broader analytics community within the bank and align with the overall strategy / direction undertaken by the bank.\nCreate reusable assets and share learning with others\n, \nPhD or\xa0Masters or equivalent degree in Statistics, Applied Mathematics, Operation Research, or equivalent quantitative fields preferred. Strong mathematical and statistics background.\n4-6 years of experience in industry (ideally banking, ecommerce, telecoms, retail) and/or academia with demonstrated track record of innovative research and insight generation and implementation of insights into tools/processes delivering front end business result\nAt least 5 years of data mining and machine learning on large amount of data, building and implementing various statistical models.\nGood understanding of technology tools especially those related to analytics, data & statistical modelling.\nHave developed and implemented industrial standard machine learning solutions for classification, prediction, text mining and anomality detection problems.\nFamiliarity with a wide range of statistical analysis, machine learning, natural language processing and deep learning techniques.\nExpertise in machine learning and data mining with excellent data processing, wrangling and feature engineering skills. Familiarity with industry paradigms and standards for model development, validation and testing.\nStrong theoretical understanding and practical knowledge and be able to apply the appropriate solution framework for different modelling tasks that forms the analytic solutions.\nAbility to push the boundary of advanced analytics/machine learning/artificial intelligence to the extent of implementing newly proposed algorithms from research papers if necessary.\n, \nOrganizational excellence: Self-starter, independent, able to align & drive strategic initiatives to support bank’s vision, project manage self and resources on complex environment with timelines, dependencies, track and control delivery with detail and skill (agile, waterfall)\nKey and critical focal point on data projects: Able to act as a key communications and delivery point across multiple and diverse stakeholders. Proven experience to be able to go to technical depth and breadth and provide exacting details enabling the speed of understanding, flow and confidence in delivery.\nDomain experience: Finance industry (preferable) and one of the following: Data Management, Data science, data analyst, Data projects. Strong inclination towards data, statistics, visualization & instrumentation\nAbility to communicate complex analysis/models across a diverse team and Senior Business Executives\nExcellent & effective communication and presentation skills (both verbal and written).\nGood people engagement and interpersonal skills with internal and external stakeholders\nGood problem-solving skills, ability to make decision and keep supervisor informed\nAbility to multitask and to encompass new and different lines of business as the team’s role expands\nHigh ability to adapt positively to a changing environment\nStrong Risk control mindset\nProficiency & Possess skills & experiences in following areas– Spark, Python or R, MS Tools, SQL, BI Tools, database design, data warehousing\xa0MS PowerView, Hadoop, R, MS Access\n']"
6,[b'MCF-2020-0051767'],[b'Full Time'],"[b'AVP, Data Scientist (NLP &amp; ML), Institutional Banking Group Operations, Technology &amp; Operations (WD07915)']",[b'DBS BANK LTD.'],[b'Posted 02 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$6,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$11,700</span></div>']",[b'Monthly'],[b'4 years  exp'],[b'Senior Management'],[b'Information Technology'],"['\nMaximize Data capabilities focusing on customer/ employee science in areas such as predictive/ prescriptive/text analytics across corporate banking products/ processes and customer servicing (Chatbot)\nDeliver analytics initiatives to address business problems with the ability to determine data required, assess time & effort required and establish a project plan. To manage other digital instrumentation projects undertaken by the team, and be accountable for their delivery (includes planning, prioritization, scope, risk/ issues management)\nConduct strategic data analysis, identify insights and implications from institutional data and make strategic recommendations to executive and senior staff, develop data displays that clearly communicate complex analysis\nTest the solution with real live data & present the results to senior management for approvals\nImplement the solution and support the Technology team to deploy the solution to production\nFacilitate to drive up adoption / embedding data in use of operations/ servicing/ journey design\nHighly self-driven and operate under “Agile” methodology & able to perform end-to-end development from requirements gathering, to design, development, testing then deployment.\nPrepare project updates report and communicate projects benefits & progress to management team or business stakeholders\nEngage with the broader analytics community within the bank and align with the overall strategy / direction undertaken by the bank.\nCreate reusable assets and share learning with others\n, \nPhD or\xa0Masters or equivalent degree in Statistics, Applied Mathematics, Operation Research, or equivalent quantitative fields preferred. Strong mathematical and statistics background.\n4-6 years of experience in industry (ideally banking, ecommerce, telecoms, retail) and/or academia with demonstrated track record of innovative research and insight generation and implementation of insights into tools/processes delivering front end business result\nAt least 5 years of data mining and machine learning on large amount of data, building and implementing various statistical models.\nGood understanding of technology tools especially those related to analytics, data & statistical modelling.\nHave developed and implemented industrial standard machine learning solutions for classification, prediction, text mining and anomality detection problems.\nFamiliarity with a wide range of statistical analysis, machine learning, natural language processing and deep learning techniques.\nExpertise in machine learning and data mining with excellent data processing, wrangling and feature engineering skills. Familiarity with industry paradigms and standards for model development, validation and testing.\nStrong theoretical understanding and practical knowledge and be able to apply the appropriate solution framework for different modelling tasks that forms the analytic solutions.\nAbility to push the boundary of advanced analytics/machine learning/artificial intelligence to the extent of implementing newly proposed algorithms from research papers if necessary.\n, \nOrganizational excellence: Self-starter, independent, able to align & drive strategic initiatives to support bank’s vision, project manage self and resources on complex environment with timelines, dependencies, track and control delivery with detail and skill (agile, waterfall)\nKey and critical focal point on data projects: Able to act as a key communications and delivery point across multiple and diverse stakeholders. Proven experience to be able to go to technical depth and breadth and provide exacting details enabling the speed of understanding, flow and confidence in delivery.\nDomain experience: Finance industry (preferable) and one of the following: Data Management, Data science, data analyst, Data projects. Strong inclination towards data, statistics, visualization & instrumentation\nAbility to communicate complex analysis/models across a diverse team and Senior Business Executives\nExcellent & effective communication and presentation skills (both verbal and written).\nGood people engagement and interpersonal skills with internal and external stakeholders\nGood problem-solving skills, ability to make decision and keep supervisor informed\nAbility to multitask and to encompass new and different lines of business as the team’s role expands\nHigh ability to adapt positively to a changing environment\nStrong Risk control mindset\nProficiency & Possess skills & experiences in following areas– Spark, Python or R, MS Tools, SQL, BI Tools, database design, data warehousing\xa0MS PowerView, Hadoop, R, MS Access\n']"
7,[b'MCF-2020-0052028'],[b'Full Time'],[b'Data Scientist'],[b'GO-JEK SINGAPORE PTE. LTD.'],[b'Posted 02 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$8,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$15,000</span></div>']",[b'Monthly'],[b'4 years  exp'],[b'Senior Executive'],"[b'Engineering, Information Technology']","['\nSelecting features, building and optimizing machine learning models.\nData mining using state-of-the-art methods.\nExtending company’s data with third party sources of information when needed.\nEnhancing data collection procedures to include information that is relevant for building analytic systems.\nProcessing, cleansing, and verifying the integrity of data used for analysis.\nDoing ad-hoc analysis and presenting results in a clear manner.\nBuilding continuous deployments and productionizing machine learning models.\nA/B Testing for models evaluation.\n, \nAt least 4\xa0years of experience in a data science role working with large data sets.\nSelf-driven and entrepreneurial with a strong sense of ownership.\nExcellent understanding of machine learning techniques and algorithms.\nExperience with common data science toolkits, such as Scikit-Learn, R, Weka, MatLab, etc.\nGreat communication skills.\nPossess good understanding of design thinking, solid CS fundamentals.\nStrong applied statistics skills, such as distributions, statistical testing, regression, etc.\nStrong programming skills.\nExperienced with Python, R , Golang, Scala, R and Shell.\nAbility to whiteboard some theory while at the same time rolling up your sleeves and get coding.\nAbility to work independently to solve problems and develop solutions.\nExperience with experimenting on different modelling techniques (supervised and unsupervised learning) and develop data visualisation for data stories.\nKaggle/Hackathon experience a plus.\nPrior experience being a founder is a huge plus.\n']"
8,[b'MCF-2020-0051546'],[b'Permanent'],[b'Business Analyst'],[b'FCS CAREERS PTE. LTD.'],[b'Posted 02 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$4,000</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Executive'],[b'Logistics / Supply Chain'],"['\nCollaborate with cross-functional teams and various internal stakeholders to align business analytics requirements with business strategy;\n\nRetrieve and process data to create appropriate data sets for consideration;\n\nMonitor key performance indicator metrics for trends and insights;\n\nCreate reports to support business operations with regard to reaching key performance indicators;\n\nDesign and create data dashboards and provide analytics guidance to relevant internal customers;\n\nSupport organization-wide initiatives for business and operations analysis.\n\n, \nBachelor Degree in Statistics, Mathematics, Data Science or related discipline;\n\n1 to 2 years of experience in data analytics, preferably in a relevant industry;\n\nProficiency in R, Python and SQL;\n\nHands-on experience in Tableau or other data visualization tools;\n\nHighly analytical, with strong problem-solving skills;\n\nExcellent communication skills and ability to work with various stakeholders within the company.\n\n, \n5-day work week;\n\nWork location: East Singapore;\n\nAttractive benefits.\n\n']"
9,[b'MCF-2020-0051247'],[b'Full Time'],[b'Synthesis x Strategist (Mandarin)'],[b'THIS IS SYNTHESIS PTE. LTD.'],[b'Posted 02 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$5,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$8,000</span></div>']",[b'Monthly'],[b'4 years  exp'],[b'Executive'],"[b'Consulting, Marketing / Public Relations']","['\n4 years+ experience working in brand strategy or digital marketing role\nConfident to work fluently in English and Mandarin\nFamiliarity with digital research, social listening, qual and quant methods\nFamiliarity with consumer data, data analysis and data visualisation an advantage\n, \nWork closely with the data science team to input cultural and contextual knowledge as they optimise our algorithms and frameworks for new geographies and languages\nLead projects end-to-end with the help of a small team of strategist and data scientists. \xa0You should be a flexible thinker who thrives in collaborative environments and is able to work under pressure\xa0\nNaturally adopt a ‘plussing’ approach to teamwork and discussions. \xa0This means pushing, questioning and stretching your own and your colleagues thinking and ideas by adding, not criticising without suggestions\nYou should be confident working with numbers. \xa0This includes strong analytical skills, an ability to digest complex consumer data and transform it into memorable output that has real impact on clients’ businesses\nBe a persuasive presenter and able to express ideas confidently, clearly and concisely in written and spoken English. \xa0\nCommercially minded and client focused. \xa0You role will include turning an appreciation of our clients’ business priorities into strong relationships\n']"
