,Job_Id,Emp_Type,Job_Title,Company,Date_Posted,Salary_Range,Salary_Type,Year_Experience,Seniority,Category,Requirements
0,[b'MCF-2020-0064748'],[b'Full Time'],[b'Associate Professor of Information Systems (Education / Practice Track)'],[b'SINGAPORE MANAGEMENT UNIVERSITY'],[b'Posted 16 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$12,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$20,000</span></div>']",[b'Monthly'],[b'8 years  exp'],[b'Professional'],[b'Education and Training'],['']
1,[b'MCF-2020-0064291'],"[b'Permanent, Full Time']",[b'Data Scientist - Signal Processing'],[b'BIOFOURMIS SINGAPORE PTE. LTD.'],[b'Posted 16 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$6,500</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Professional'],"[b'Engineering, Healthcare / Pharmaceutical, Information Technology']","['\nMaster or Ph.D. in Biomedical Engineering, Computer Science, Electrical Engineering or relevant discipline.\nPossess 2 years’ proven working experience in writing high-performance Python code especially on machine learning projects.\nFamiliar with signal/image processing techniques. Understand\xa0bio-signals (ECG, PPG, and other types of biomedical/healthcare data) is a plus.\nFollows good software development practices like version control using git, bitbucket, or other similar tools.\xa0Experience in working on Linux is a plus.\nExcellent written and verbal communication skills.\xa0Good team player.\n']"
2,[b'MCF-2020-0064123'],[b'Full Time'],[b'Computer Vision / Deep Learning Engineer'],[b'BLACK SESAME TECHNOLOGIES (SINGAPORE) PTE. LTD.'],[b'Posted 16 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$5,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$9,000</span></div>']",[b'Monthly'],[b'4 years  exp'],[b'Professional'],[b'Engineering'],['']
3,[b'MCF-2020-0064082'],"[b'Part Time, Full Time']",[b'AI Optimization Engineer'],[b'BLACK SESAME TECHNOLOGIES (SINGAPORE) PTE. LTD.'],[b'Posted 16 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$5,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$8,000</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Professional'],[b'Engineering'],['']
4,[b'MCF-2020-0064632'],[b'Full Time'],[b'Data Engineer (Junior /  Senior)'],[b'OMNISTREAM PTE. LTD.'],[b'Posted 16 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$6,000</span></div>']",[b'Monthly'],[],[b'Junior Executive'],[b'Information Technology'],"['\nBackground in machine learning, data science\xa0\nTake projects from a research state into a production environment. This includes specifying project definition, functional requirements, performance and scalability needs\xa0\nProactively address stability / performance issues in form of algorithmic enhancements across functional and business lines\xa0\nConduct data analysis/ queries using SQL and Python\nProvide data visualisations using tools like Powerbi/ Tableau\nAble to spot patterns and trends in data\nCollaborate with data engineers, product managers, and the operation team to provide statistics or business data that can help to drive business insights\nAbility and aptitude to learn new things and be an active team member\n, \nGraduate in Mathematics, Statistics, Engineering, Computer Science or related field\nAble to work with a large amount of data meticulously\nFamiliar with at least one programming/scripting language, preferably SQL or Python\nExperience in data analysis and data collection preferred\nHighly motivated and independent\nYou work on weekend projects for fun\nOperating System: Unix/Linux, Windows\xa0\nCloud Technologies: AWS\xa0\nDatabase: Redshift\n']"
5,[b'MCF-2020-0064057'],[b'Full Time'],[b'Image Processing  /  Computer Vision Engineer (Senior to Principal level)'],[b'BLACK SESAME TECHNOLOGIES (SINGAPORE) PTE. LTD.'],[b'Posted 16 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$5,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$8,000</span></div>']",[b'Monthly'],[b'3 years  exp'],[b'Professional'],[b'Engineering'],['']
6,[b'MCF-2020-0064779'],"[b'Permanent, Full Time']","[b'Automation Engineer, Java - Backend  /  Workflow  /  UI, Analyst (60932)']",[b'GOLDMAN SACHS SERVICES (SINGAPORE) PTE. LTD.'],[b'Posted 16 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$8,000</span></div>']",[b'Monthly'],[b'1 year  exp'],[b'Junior Executive'],[b'Banking and Finance'],"[""\nCore Java knowledge including experience of developing APIs\nKnowledge of SDLC practices such as Git, Maven, Mockito, Junit etc.\nKnowledge of Databases, SQL, No SQL, Big Data etc.\nKnowledge of Messaging system such as Kafka, Rabbit MQ, Apache Flink etc.\nKnowledge of frameworks like hibernate, JDBC, Caches etc.\nKnowledge of wire formats like JSON, XML, Avro etc.\n, \nDemonstrates strong technical skills required for the role, pays attention to detail, takes initiative to broaden his/her knowledge and demonstrates appropriate technical/analytical skills\nDrive and Motivation - Successfully handles multiple tasks, takes initiative to improve his/her own performance, works intensely towards extremely challenging goals and persists in the face of obstacles or setbacks\nClient and Business Focus - Effectively handles difficult requests, builds trusting, long-term relationships with business users, and manages clients/business expectations\nTeamwork – Gives evidence of being a strong team player, collaborates with others within and across teams, encourages other team members to participate and contribute and acknowledges others' contributions\nCommunication Skills - Communicates what is relevant and important in a clear and concise manner and shares information/new ideas with others\nGood to have knowledge on Amazon Cloud development.\nAbility to integrate with third party tools and frameworks for rapid prototyping and development where applicable\nProcess engineering - Review processes, evaluate risks and recommend improvements in the current operating procedures\n""]"
7,[b'MCF-2020-0064776'],"[b'Permanent, Full Time']","[b'Automation Engineer, Java - Backend / Workflow / UI, Associate (60932)']",[b'GOLDMAN SACHS SERVICES (SINGAPORE) PTE. LTD.'],[b'Posted 16 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$7,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$15,000</span></div>']",[b'Monthly'],[b'3 years  exp'],[b'Executive'],[b'Banking and Finance'],"[""\nCore Java knowledge including experience of developing APIs\nKnowledge of SDLC practices such as Git, Maven, Mockito, Junit etc.\nKnowledge of Databases, SQL, No SQL, Big Data etc.\nKnowledge of Messaging system such as Kafka, Rabbit MQ, Apache Flink etc.\nKnowledge of frameworks like hibernate, JDBC, Caches etc.\nKnowledge of wire formats like JSON, XML, Avro etc.\n, \nDemonstrates strong technical skills required for the role, pays attention to detail, takes initiative to broaden his/her knowledge and demonstrates appropriate technical/analytical skills\nDrive and Motivation - Successfully handles multiple tasks, takes initiative to improve his/her own performance, works intensely towards extremely challenging goals and persists in the face of obstacles or setbacks\nClient and Business Focus - Effectively handles difficult requests, builds trusting, long-term relationships with business users, and manages clients/business expectations\nTeamwork – Gives evidence of being a strong team player, collaborates with others within and across teams, encourages other team members to participate and contribute and acknowledges others' contributions\nCommunication Skills - Communicates what is relevant and important in a clear and concise manner and shares information/new ideas with others\nGood to have knowledge on Amazon Cloud development.\nAbility to integrate with third party tools and frameworks for rapid prototyping and development where applicable\nProcess engineering - Review processes, evaluate risks and recommend improvements in the current operating procedures\n""]"
8,[b'MCF-2020-0064727'],"[b'Permanent, Full Time']","[b'Sequencer Engineer - Equity Accelerate Engineering, Executive Director (59229)']",[b'GOLDMAN SACHS SERVICES (SINGAPORE) PTE. LTD.'],[b'Posted 16 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$7,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$15,000</span></div>']",[b'Monthly'],[b'3 years  exp'],[b'Executive'],[b'Banking and Finance'],"[""\nDesign, build and maintain a high-performance, high-availability, high-capacity, yet nimble and adaptive platform for transaction cost analytics and execution research\nDevelop highly reliable data ingestion processes to consume large volumes of data emitted by trading and market data systems.\nDesign distributed computation infrastructure and libraries to run parallelized queries over large volumes of data.\nDesign, build and maintain applications to monitor performance of trading strategies in relation to the market in real time.\nUse data to guide decision-making, developing or enhancing tools as necessary to collect it.\nCommunication with traders, sales, clients and compliance officers about new feature requests, explanation of existing features etc.\n, \nBachelors or Master’s degree in computer science or engineering or equivalent experience\n1 to 2 years of professional experience in a data engineering/analytics role\nPrior Experience with Python/Java/Scala based large scale streaming data analytics and storage solutions\nStrong knowledge of object oriented programming, data structures, algorithms and design patterns\nStrong communication skills and the ability to work in a team\nStrong analytical and problem solving skills\nExperience in data driven performance analysis and optimizations.\n, \nExperience building streaming data processing and ingestion pipelines\nExperience building distributed data processing systems which handle a high volume of client queries\nKnowledge and Experience with KDB\nExperience with Equities transaction and market data, Transaction Cost Analysis\nPrior experience building systems used by multiple technical and non-technical teams\nOver 3 years' experience in Financial industry\n""]"
9,[b'MCF-2020-0064577'],"[b'Contract, Full Time']",[b'Research Engineer'],[b'NATIONAL UNIVERSITY OF SINGAPORE'],[b'Posted 16 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$4,200</span></div>']",[b'Monthly'],[],[b'Non-executive'],"[b'Engineering, Sciences / Laboratory / R&amp;D']",['\nApplicants should have preferably a Master degree or at least a Bachelor degree in structural engineering or related disciplines from a reputable university.\n\nApplicants should have prior research experience in both the experimental testing and numerical analyses of structural components (prior knowledge in fatigue and fracture will be preferred).\n\nApplicants should have basic knowledge and skills in applying and developing machine learning algorithms.\n\nApplicants should be able to converse well in English (both oral and written).\n\n']
