,Job_Id,Emp_Type,Job_Title,Company,Date_Posted,Salary_Range,Salary_Type,Year_Experience,Seniority,Category,Requirements
0,[b'MCF-2020-0045240'],"[b'Contract, Full Time']","[b'Scientist (Machine Intellection), I2R']",[b'A*STAR RESEARCH ENTITIES'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$9,000</span></div>']",[b'Monthly'],[],[b'Professional'],[b'Sciences / Laboratory / R&amp;D'],"['\nDeveloping, enhancing, automating, and managing analytics models\nCreating visualizations to unveils insight faster and effectively.\nDevelop practical data-driven solutions\nPerform data cleanup, normalization and transformation and examine data from multiple diverse data sources\nProcess optimization design based on historical data\nEnsure the integrity and security of institutional data\n, \nPhD in Computer Science, Mathematics and/or Statistics degree, Electrical Engineering, Physics, Civil Engineering, Chemical, Biochemical Engineering, with experience in data analytics\nExpertise in problem formulation and solving\nExperience working in a field related to statistics or data mining\nExperience performing data manipulation and pattern analysis\nExperience in applying Machine Learning algorithms\nProficiency in multiple programming languages, with particular emphasis on Python, R, Matlab, Java, and SQL\nExperience in working in a cross-functional team environment with multifunctional stakeholder\nExcellent written and verbal communication skills\nAbility to work independently, as well as in teams, highly desired\n']"
1,[b'MCF-2020-0045289'],"[b'Contract, Full Time']","[b'Scientist (Machine Intellection), I2R']",[b'A*STAR RESEARCH ENTITIES'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$9,000</span></div>']",[b'Monthly'],[],[b'Professional'],[b'Sciences / Laboratory / R&amp;D'],"['\nProtein nodes discovering in cancer\nBiomarker detection and clustering\nCorrelation analysis\n, \n2/3/4D image segmentation\nImage based measurement\nGene sequence analysis\nAnomaly detection\n, \nPhD in Computer Science, Statistics, or Data Science\nStrong knowledge in deep learning applied to healthcare domain\nExpertise in one or more healthcare and medicine topics, such as survival rate prediction, biomarker detection, 3D segmentation, etc\nAbility to work independently, as well as in teams highly desired\nGood communication skills for proposals, reports, and publications\nProficiency in spoken and written English\nExperience with one of TensorFlow, Pytorch, Theano, Caffe, CNTK\nStrong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB)\nExperience with machine learning at scale is a plus\n']"
2,[b'MCF-2020-0045282'],"[b'Contract, Full Time']","[b'Scientist (Machine Intellection), I2R']",[b'A*STAR RESEARCH ENTITIES'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$9,000</span></div>']",[b'Monthly'],[],[b'Professional'],[b'Sciences / Laboratory / R&amp;D'],"['\nProtein nodes discovering in cancer\nBiomarker detection and clustering\nCorrelation analysis\n, \n2/3/4D image segmentation\nImage based measurement\nGene sequence analysis\nAnomaly detection\n, \nPhD in Computer Science, Statistics, or Data Science\nStrong knowledge in deep learning applied to healthcare domain\nExpertise in one or more healthcare and medicine topics, such as survival rate prediction, biomarker detection, 3D segmentation, etc\nAbility to work independently, as well as in teams highly desired\nGood communication skills for proposals, reports, and publications\nProficiency in spoken and written English\nExperience with one of TensorFlow, Pytorch, Theano, Caffe, CNTK\nStrong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB)\nExperience with machine learning at scale is a plus\n']"
3,[b'MCF-2020-0072728'],"[b'Permanent, Full Time']","[b'AVP, Business / Data Analyst \xe2\x80\x93 Credit Risk, Risk Management Group (WD11441)']",[b'DBS BANK LTD.'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$6,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$11,700</span></div>']",[b'Monthly'],[b'3 years  exp'],[b'Senior Management'],[b'Banking and Finance'],"['\nThe Business Analyst role provides support to business and credit users and assisting users in translating business requirements into deliverables, as well as to contribute to business specific tasks in the group-wide projects undertaken by the department from initialization to post-implementation.\nThe Data Analyst role provide support in collecting, cleansing, interpreting, analyzing data to identify trends and patterns to gain insights and use it for problem solving or support business opportunities via Machine Learning or Traditional methods.\n, \nTo undertake business analyst (80%) and data analyst (20%) role in Corporate Credit Risk related projects and Production BAU Business Support\nE.g. Developing new functionalities/ workflows for Corporate Credit Risk related applications, Supporting application using Machine Learning to predict customers which requires closer monitoring, Migrating Credit Limits to new application\nCandidate must have experience in developing new functionalities in Credit Risk Applications.\n, \nUnderstand how the Credit systems work end to end.\nUnderstand how the internal Credit systems integrate / interact with other credit systems, product source systems and front-end workflow systems for wholesale banking relationship managers and credit risk managers.\nDefine/ collate business requirements, prepare functional requirements, write User Stories and initiate User Requests (Request for Service) on behalf of the business and risk management / credit units.\nReview business process supported by the credit systems to optimize efficiency.\nPlan for test scenarios, perform pre-UAT sanity checks and co-ordinate with end-users to perform UAT.\nConduct training for new and existing system related processes and functionality.\nMaintain business related documentation for the credit systems including requirements, user guides, Frequently Asked Questions, and ensure these are updated to the Intranet for on-going access by credit and business users.\nPerform any other business specific tasks in the project schedule including data analysis, user interviews/ surveys, maintain system configuration, preparation of user reports and Live Verification.\nWork closely with Technology support & delivery teams to ensure that user requirements are delivered successfully.\n, \nUnderstand internal DBS data and collect relevant external data\nIdentify required data for project and analyze, clean-up and transform/prepare it for processing\nObtain insights into the data and prepare clear visualization to present findings\nUsing data-driven insights, make recommendations to address potential business problems or innovate to stay ahead of industry trends\nUnderstand the different types of data analytics and use of Machine Learning\n, \nDegree in Banking, Commerce or Information Systems-related field with at least 5 years’ relevant experience.\nMore than 3 years’ prior experience as business analyst and data analyst handling end to end delivery.\nExcellent people management skill.\nAble to understand and articulate business objectives, risk and dependencies.\nGood at defining and defending scope.\nNot afraid to escalate issues.\nExperience in wholesale banking / Credit risk projects preferred.\nProduct knowledge and prior experience on Wholesale / Corporate Banking, Loans, Trade and Treasury and Markets preferred.\nKnowledge of credit products, risk monitoring / control processes and credit processing systems of banks preferred.\nPrior experience with Data Analytics/ Machine Learning project/ application preferred.\nPrior experience working in AGILE methodology preferred\nPrior experience with MS Access, Excel, Java Scripts, R and Phyton.\n, \nStrong leadership, communication, presentation and analytical skills.\nTask oriented and follow through with attention to detail.\nStrong discipline to adhere to procedures and standards.\nTolerance for ambiguity and job stress.\nClear, analytical mind and good/ creative problem-solving skills required.\nFast learner who can work independently with minimal guidance.\nTenacious.\nCan prioritize work quickly.\nMaintains good relationships at all levels – junior to senior.\nGood listener.\nAble to distill IT speak into business language and vice-versa.\nSolution oriented, not problem oriented.\n']"
4,[b'MCF-2020-0041782'],"[b'Contract, Full Time']","[b'Scientist (Mobility), Robotics &amp; Autonomous Systems, I2R']",[b'A*STAR RESEARCH ENTITIES'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$9,000</span></div>']",[b'Monthly'],[b'1 year  exp'],[b'Professional'],[b'Sciences / Laboratory / R&amp;D'],"['\nResearch and development of drone control, motion planning, obstacle detection and avoidance using camera and/or lidar and coordination between drone and ground robot\nAlgorithm development, testing and system integration to deliver functioning modules in a commercial drone for various real world applications\nActively collaborate with other researchers in scientific writing, testing, experimentations, and trouble-shootings the system during testing and real-world trial deployments\nRealisation of algorithms developed into computational footprints that are suitable for deployment in drones and robots, including optimizing the algorithms to allow for real time processing\n, \nPhD in Mechanical, Electrical, Computer Science/ Engineering, Machine Learning or related fields\n1 year hands on experience in autonomous drone related research and development\nStrong software development skills in C/C++, Phython\nGood knowledge on ROS, Linux and/or DDS related middleware\nFamiliarity with drone control, motion planning and emerging navigation works using lidar and/or vision for drone in unstructured environment is an advantage\nExperience in machine learning for motion planning is useful\nGood communication skills, team player and resrouceful\n']"
5,[b'MCF-2020-0045252'],"[b'Contract, Full Time']","[b'Scientist (Aural &amp; Language Intelligence), I2R']",[b'A*STAR RESEARCH ENTITIES'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$9,000</span></div>']",[b'Monthly'],[],[b'Professional'],[b'Sciences / Laboratory / R&amp;D'],"['\nPhD in Computer Engineering, Computer Science, Machine Learning\nProficient in Python/Matlab/ C++ programming\nKnowledge in ASR and/or Deep Learning\nTeam spirit and problem solving ability\nExcellent verbal and written communication skills\nGood track of scientific publication in international journals and peer-review conferences\n']"
6,[b'MCF-2020-0045273'],"[b'Contract, Full Time']","[b'Research Engineer (Aural &amp; Language Intelligence), I2R']",[b'A*STAR RESEARCH ENTITIES'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,900</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$7,800</span></div>']",[b'Monthly'],[],[b'Professional'],[b'Sciences / Laboratory / R&amp;D'],"['\nBachelor or Master in Computer Engineering, Computer Science, Machine Learning\nProficient in Python/ C++ programming/Java\nKnowledge in ASR and/or Deep Learning\nTeam spirit and problem solving ability\nExcellent verbal and written communication skills\n']"
7,[b'MCF-2020-0045268'],"[b'Contract, Full Time']","[b'Research Engineer (Aural &amp; Language Intelligence), I2R']",[b'A*STAR RESEARCH ENTITIES'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$5,500</span></div>']",[b'Monthly'],[],[b'Professional'],[b'Sciences / Laboratory / R&amp;D'],"['\nBachelor or Master in Computer Engineering, Computer Science, Machine Learning\nProficient in Python/ C++ programming/Java\nKnowledge in ASR and/or Deep Learning\nTeam spirit and problem solving ability\nExcellent verbal and written communication skills\n']"
8,[b'MCF-2020-0072990'],[b'Internship'],[b'Junior Analyst Intern'],[b'XYPHER PTE. LTD.'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$1,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$1,200</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Executive'],[b'Information Technology'],['']
9,[b'MCF-2020-0072989'],[b'Full Time'],[b'Integration Engineer'],[b'TALENTREQ PARTNERS (PTE. LTD.)'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$5,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$12,000</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Senior Executive'],[b'Information Technology'],"['\nYou’ll be involved in the development, design, build, testing, and go live phases of multiple Interoperability projects.\nThis includes scripting to conform to another systems specifications.\nYou will also work with internal teams to continuously improve processes and procedures around deployment of interoperability products that communicate in HIT standards-based formats such as HL7, IHE Profiles, Direct, or SMART on FHIR.\nResponsibilities include but are not limited to HL7 interface development, data migrations, XML interface development.\nThe Integration Engineer oversees the development of new interfaces and the support of existing interfaces.\nDevelop interfaces for PACS Installations\nDetermine project requirements for interface development based off of the customer’s specific workflow.\nClosely coordinates company executive involvement with customer management.\nWorks closely with all company team members to ensure customer satisfaction and problem resolution.\nThis job may require overseas travel.\n, \nBachelor’s Degree in Information Systems, Computer Science, Engineering, Computer Information Systems, Management Information Systems, or equivalent experience\nExperience with SQL and relational databases\nExperience with Command Line in Linux environments\nExperience with Python\nStrong communication skills used for advising clients on technical problems\nKnowledge of Radiology workflows\nMeticulous about documentation\nAbility to work in a team environment\nExperience with relevant python libraries: Flask, Pytest, SQLAlchemy, Requests\nExperience with IHE profiles (XDS.b, XDS-I.b, XCA)\nExperience with HL7v2 standards\nExperience with JSON or SMART on FHIR\nExperience with cloud deployments and/or pipelines, especially Pivotal Cloud Foundry\nSolid analytical and decision-making skills\nTime management, communication, and critical thinking skills are key to maintaining relationships with client and to provide them with the highest level of service.\nGood interpersonal skill and able to work in small teams in a startup environment\nPositive attitude and approach in problem management\nSelf-starter and can work independently with little supervision\nDemonstrated good work track record\nIT savvy, analytical and creative\nA balance and fair personality, with impact communication ability\n']"
