,Job_Id,Emp_Type,Job_Title,Company,Date_Posted,Salary_Range,Salary_Type,Year_Experience,Seniority,Category,Requirements
0,[b'MCF-2020-0072476'],[b'Full Time'],[b'Data Analyst'],[b'LINGJACK ENGINEERING WORKS PTE LTD'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$5,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$7,000</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Executive'],[b'Information Technology'],"['\nPerform data analysis, labelling, modelling and programming for the implementation of artificial intelligence system.\nResponsible for ensuring project delivery on time on schedule and with quality\nEngage in project conceptualization, defining project scope and providing business solutions\nLiaise and advising multiple stakeholders and managing their expectations\n, \nDegree in Information Systems, Computer Engineering or Computer Science\nAt least 2 years of experience in project management\nBackground in Artificial Intelligence Technologies is required\nKnowledge and hands-on exposure in raw data processing, computer vision and sensor fusion using camera\nGood understanding of the latest research and technologies in Artificail Intelligence\n']"
1,[b'MCF-2020-0072378'],"[b'Contract, Full Time']","[b'Research Engineer (Deep Learning 2.0), I2R']",[b'A*STAR RESEARCH ENTITIES'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,900</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$7,800</span></div>']",[b'Monthly'],[],[b'Fresh/entry level'],[b'Sciences / Laboratory / R&amp;D'],"['\nMinimum Bachelor in Computer Science, Statistics, or Data Science intensive fields, with expertise in one or more of the following areas:\n, \nExperience in corporate or application oriented environments is a plus\nAbility to work independently, as well as in teams highly desired\nGood communication skills for proposals, reports, and publications\nExperience with one of Tensor Flow, Theano, Caffe, CNTK. Skills\nStrong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB)\nComputer vision and deep learning skills desirable\n']"
2,[b'MCF-2020-0071871'],"[b'Contract, Full Time']",[b'Research Engineer (Computer Science / Aerospace Engineering / Applied Mathematics) R00001676 '],[b'NANYANG TECHNOLOGICAL UNIVERSITY'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$6,000</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Professional'],[b'Sciences / Laboratory / R&amp;D'],"[""\nConduct research and development related to Artificial Intelligence and Machine Learning applied to Air Traffic Management (ATM)\nDevelop algorithms and models, perform data processing & mining, and perform analytics for future ATM systems\nProvide support on the implementation and verification of an AI-based Remote Tower Control assistance system\n, \nBachelor’s Degree or higher in Computer Science, Aerospace Engineering or Applied Mathematics (Bachelor's Degree with minimum four years of work experience; Master's Degree with minimum two years of work experience)\nDeep understanding and experience in the theory and application of AI and Machine Learning techniques\nProgramming Experience and knowledge of Python, Matlab, R and/or C++\nDemonstrated project experience related to Airport or Air Traffic Management will be advantageous to the role\nExperience of sound Software Engineering practices, including data management, software version control and database design will be a advantageous to the role\nUnderstanding of statistical methods and/or probability theory will be a plus\nGood English writing and communication skills\nIndependent and team player\n""]"
3,[b'MCF-2020-0071841'],[b'Permanent'],[b'Full Stack Engineer'],[b'OTSAW DIGITAL PTE. LTD.'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$7,500</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Executive'],[b'Engineering'],"['\nDevelop \xa0\xa0\xa0\xa0\xa0software for robot fleet management, log management & analytic.\nDevelop \xa0\xa0\xa0\xa0\xa0software system to improve development team productivity, streamline \xa0\xa0\xa0\xa0\xa0software development & testing process.\nManage \xa0\xa0\xa0\xa0\xa0outsource developers, in charge of project planning, code review, QA/QC.\nStreamline \xa0\xa0\xa0\xa0\xa0installation, deployment, automated testing of robotic software system\nDevelop \xa0\xa0\xa0\xa0\xa0software system to improve internal team productivity, streamline software \xa0\xa0\xa0\xa0\xa0development & testing process\nDevelop \xa0\xa0\xa0\xa0\xa0and maintain backend service and infrastructure for fleet management, log \xa0\xa0\xa0\xa0\xa0management, analytic.\n, \nMin. education qualification in Bachelor Degree in Computer Engineer / Engineer \xa0\xa0\xa0\xa0\xa0or other relevant field.\nInterest in robotics field. Experience in robotic software development is a plus\nExperience in setting up DevOps CI/CD pipeline, Docker\nExperience in designing and implementation of backend software services\nExperience in Python, Javascript, Typescript, SQL, Linux, Bash scripting, Git, HTML, \xa0\xa0\xa0\xa0\xa0Java, ObjectiveC, Swift\nExperience in video streaming protocol is a plus\nExperience in Agile development process & remote team management.\n']"
4,[b'MCF-2020-0072416'],"[b'Contract, Full Time']",[b'Digital Marketing Executive for AI Singapore'],[b'NATIONAL UNIVERSITY OF SINGAPORE'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$2,800</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$4,000</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Executive'],[b'Marketing / Public Relations'],"['\nImplement the overall digital marketing strategy.\n\nOversee, manage, design and provide content for all digital marketing channels, including web and social media accounts to engage different target audience groups.\n\nPlan and execute all web, SEO/SEM, email marketing, social media campaigns, where applicable.\n\nGrow and enhance the existing subscriber base.\n\nStay up to date with the latest technologies and best practices.\n\nMeasure ROI and KPIs.\n\nCopywriting for all e-marketing collaterals and programme content for AISG’s pillars including eDMs, website content, ads etc.\n\nPrepare online newsletter and promotional emails and organise their distribution through various channels, where applicable.\n\nAssist the Head of Marketing & Communications on AISG-wide events, when required.\n\n, \nAt least 2 years of experience in developing and implementing successful digital marketing strategies.\n\nExcellent understanding and experience with digital marketing concepts, tools, best practices and copy writing for digital assets.\n\nProficient in Wordpress, SEO/SEM, Google Analytics.\n\nKnowledge of Photoshop and/or Illustrator, InDesign and Media/Video editing and production will be an advantage.\n\nSense of ownership and pride in your performance and its impact on an organisation’s success.\n\nCritical thinker and problem-solving skills.\n\nIndependent worker but good team player.\n\nGood time-management skills, able to work under tight timelines.\n\nExcellent communication skills (oral and written).\n\nDiploma /Degree in Marketing, Digital technologies or relevant field.\n']"
5,[b'MCF-2020-0072379'],"[b'Contract, Full Time']",[b'Administrative Manager for AI Singapore (Technology)'],[b'NATIONAL UNIVERSITY OF SINGAPORE'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$6,000</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Manager'],[b'General Management'],"['\nProvide support in day-to-day operations for Technology pillar within AI Singapore.\n\nDeveloping, reviewing, and improving divisional administrative systems, policies, and procedures, in accordance with central organization policies.\n\nPreparing, structuring and reviewing administrative and research program documents, presentations, and spreadsheets, in co-ordination with central administrative departments.\n\nOrganizing and managing all divisional documents, agreements, and guidelines and protocols using computerized knowledge management and filing systems.\n\nWorking with management and accounting teams to set budgets, monitor spending, and process expenses for the pillar.\n\nOrganizing and promoting the pillar’s events such as workshops, seminars, conferences, and others.\n\nSupervising the coordination of event logistics with vendors and setup of the events.\n\nCommunicating with various stakeholders, research teams, and coordinating responses.\n\nProcuring pillar’s major equipment and services, negotiating contracts and agreements with vendors.\n\nLiaising with finance, HR, legal, and other departments.\n\nHiring, training, and evaluating administrative and support staff.\n\n, \nBachelor’s degree in business administration, management, or related field.\n\nAt least 5 years’ experience in a similar position with relevant responsibilities.\n\nExceptional time, task, and resource management skills.\n\nSelf-motivated, detail-oriented, multi-tasking in a dynamic, fast-pace environment with lots of opportunities for learning new skills and establishing new connections.\n\nStrong problem solving, interpersonal, and verbal and written communication skills. Bilingual or multi-lingual candidates preferred.\n\nFamiliarity with budget planning and enforcement.\n\nProficiency with information technologies, especially MS Office.\n']"
6,[b'MCF-2020-0072375'],"[b'Contract, Full Time']","[b'Senior /  Research Engineer (Machine Intellection), I2R']",[b'A*STAR RESEARCH ENTITIES'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,900</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$7,800</span></div>']",[b'Monthly'],[],[b'Professional'],[b'Sciences / Laboratory / R&amp;D'],"['\nBiomarker detection and clustering; and\nCorrelation analysis.\n, \n2/3D image segmentation;\nImage based measurement;\nGene sequence analysis;\nAnomaly detection etc\n, \nBachelors or Masters in Computer Science, Statistics, or Data Science intensive fields\nStrong knowledge in deep learning applied to healthcare domain;\nExpertise in one or more healthcare and medicine topics, such as survival rate prediction, biomarker detection, and image based segmentation, etc.\nAbility to work independently, as well as in teams highly desired.\nGood communication skills for proposals, reports, and publications.\nProficiency in spoken and written English.\nStrong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB).\nExperience with one of TensorFlow, Pytorch, Theano, Caffe, CNTK Skills\nExperience with machine learning at scale is a plus\n']"
7,[b'MCF-2020-0072372'],"[b'Contract, Full Time']","[b'Senior /  Research Engineer (Machine Intellection), I2R']",[b'A*STAR RESEARCH ENTITIES'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$5,500</span></div>']",[b'Monthly'],[],[b'Fresh/entry level'],[b'Sciences / Laboratory / R&amp;D'],"['\nBiomarker detection and clustering; and\nCorrelation analysis.\n, \n2/3D image segmentation;\nImage based measurement;\nGene sequence analysis;\nAnomaly detection etc\n, \nBachelors or Masters in Computer Science, Statistics, or Data Science intensive fields\nStrong knowledge in deep learning applied to healthcare domain;\nExpertise in one or more healthcare and medicine topics, such as survival rate prediction, biomarker detection, and image based segmentation, etc.\nAbility to work independently, as well as in teams highly desired.\nGood communication skills for proposals, reports, and publications.\nProficiency in spoken and written English.\nStrong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB).\nExperience with one of TensorFlow, Pytorch, Theano, Caffe, CNTK Skills\nExperience with machine learning at scale is a plus\n']"
8,[b'MCF-2020-0072361'],[b'Full Time'],[b'Product Manager - Payments'],[b'MICHAEL PAGE INTERNATIONAL PTE LTD'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$10,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$12,000</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Professional'],[b'Information Technology'],"[""\nJoin a Hypergrowth FinTech\n\nOwn end-to-end product strategy with full ownership on the product\n\n, \nBe a superb a communicator: You can educate, inform, and influence with a wide spectrum of internal stakeholders as well as clients, to ensure products are on track to delivery and relevant to market and client needs\nNeed good Product Management skills: You will be responsible for the end-to-end product cycle: from the ideation to execution and optimisation of the product. You will be developing the product strategy and roadmap\nBe able to make data-driven decisions: You will need to utilise the information collected and iterate the product accordingly through identifying core issues\nStart-up/Entrepreneurial mind: Even with superb backing, our client remains steadfast in keeping a fast moving, fast acting, autonomous spirit. You can, and love, to roll up your sleeves to get the job done\n, \nBachelors' and above degree in any relevant discipline\n5 or more years' of experience in the product management\nPrevious experience in end-to-end product management of payment products within the SEA region is preferred\nAbility to manage internal stakeholders across seniorities and functions\nAnalytical and hands-on approach with both business and technical teams\n""]"
9,[b'MCF-2020-0072360'],"[b'Contract, Full Time']",[b'Senior Research Engineer (Computer Science)'],[b'NANYANG TECHNOLOGICAL UNIVERSITY'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$5,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$8,250</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Manager'],[b'Information Technology'],"['\nData mining from massive data from documents to gain insights and identify patterns\nDesign and implement artificial intelligence (AI) and machine learning (ML) engines through in-depth research and experiments\nApplication of AI and ML in knowledge and information retrieval (IR), relevancy ranking with spatiotemporal consideration\nConduct “translational” research to apply the state-of-the-art solutions at scale for real world challenges\nDocumentation and scientific reporting\nMentoring junior staff\n, \nPhD in computer science\nMinimum 5 years software development experience\nExperience and excellent research background in AI, ML, data science and related areas\nPassionate about AI-related research, innovations and their applications\nProficient in one or more programming languages (e.g., Python, C/C++, etc.) and research packages/modules\nExperience in large-scale text processing and analytics\nGood track records in publication\n']"
