Job_Id,Emp_Type,Job_Title,Company,Date_Posted,Year_Experience,Seniority,Category,Requirements,Min_Salary,Max_Salary,Avg_Salary,Salary_range,Qualification,New_Skills
MCF-2020-0072476,Permanent,Data Analyst,LINGJACK ENGINEERING WORKS PTE LTD,Posted 26 Mar 2020,2,Executive,Information Technology,Perform data analysis modelling programming implementation artificial intelligence system. Responsible ensuring project delivery time schedule quality Engage project conceptualization defining project scope providing business solutions Liaise advising multiple stakeholders managing expectations Degree Information Systems Computer Engineering Computer Science At 2 project management Background Artificial Intelligence Technologies required Knowledge - exposure raw data processing computer vision sensor fusion camera Good understanding latest research technologies Artificail Intelligence,5000.0,7000.0,6000.0,Med,%degree%computer science%engineering%computer engineering%business,%computer vision
MCF-2020-0071871,Contract Permanent,Research Engineer (Computer Science / Aerospace Engineering / Applied Mathematics) R00001676,NANYANG TECHNOLOGICAL UNIVERSITY,Posted 26 Mar 2020,2,Professional,Sciences  Laboratory  R&D,Conduct research development Artificial Intelligence Machine Learning applied Air Traffic Management (ATM) Develop algorithms models perform data processing & mining perform analytics future ATM systems Provide support implementation verification AI-based Remote Tower Control system Bachelors Degree higher Computer Science Aerospace Engineering Applied Mathematics (Bachelor Degree minimum Master Degree minimum two ) Deep understanding theory application AI Machine Learning techniques Programming Experience Python Matlab R / C++ Demonstrated project Airport Air Traffic Management advantageous role Experience sound Software Engineering practices including data management software version control database advantageous role Understanding statistical methods / probability theory plus Good English writing communication Independent player,4500.0,6000.0,5250.0,Med,%master%degree%computer science%engineering%statistic%math,python%c++%machine learning
MCF-2020-0071841,Permanent,Full Stack Engineer,OTSAW DIGITAL PTE. LTD.,Posted 26 Mar 2020,2,Executive,Engineering,Develop software robot fleet management log management & analytic. Develop software system improve development productivity streamline software development & testing process. Manage developers charge project planning code review QA/QC. Streamline installation deployment automated testing robotic software system Develop software system improve internal productivity streamline software development & testing process Develop maintain backend service infrastructure fleet management log management analytic. Min. education qualification Bachelor Degree Computer Engineer / Engineer relevant field. Interest robotics field. Experience robotic software development plus Experience setting DevOps CI/CD pipeline Docker Experience designing implementation backend software services Experience Python Javascript Typescript SQL Linux Bash scripting Git HTML Java ObjectiveC Swift Experience video streaming protocol plus Experience Agile development process & remote management.,4000.0,7500.0,5750.0,Med,%degree,python%java%sql%linux%git%agile%bash%bash%docker
MCF-2020-0072361,Permanent,Product Manager - Payments,MICHAEL PAGE INTERNATIONAL PTE LTD,Posted 26 Mar 2020,5,Professional,Information Technology,Join Hypergrowth FinTech Own end- -end product strategy full ownership product Be superb communicator: You inform influence wide internal stakeholders well clients ensure products track delivery relevant market client needs Need Product Management : You responsible end- -end product cycle: execution optimisation product. You developing product strategy roadmap Be make data-driven decisions: You need information collected iterate product accordingly identifying core issues Start- /Entrepreneurial mind: Even superb client keeping fast moving fast acting autonomous spirit. You love roll sleeves get job done Bachelors degree relevant discipline 5 product management Previous end- -end product management products within SEA region preferred Ability manage internal stakeholders across functions Analytical - approach business technical teams,10000.0,12000.0,11000.0,High,%degree%business,
MCF-2020-0072360,Contract Permanent,Senior Research Engineer (Computer Science),NANYANG TECHNOLOGICAL UNIVERSITY,Posted 26 Mar 2020,5,Manager,Information Technology,Data mining data documents gain insights identify patterns Design implement artificial intelligence (AI) machine learning (ML) engines -depth research experiments Application AI ML information retrieval (IR) relevancy ranking spatiotemporal consideration Conduct translational research apply state- - -art solutions scale real world challenges Documentation scientific reporting Mentoring junior staff PhD computer science Minimum 5 software development Experience excellent research background AI ML data science Passionate AI- research innovations applications Proficient one programming languages (e.g. Python C/C++ .) research packages/modules Experience large-scale text processing analytics Good track records publication,5500.0,8250.0,6875.0,High,phd%computer science,python%c++%machine learning
MCF-2020-0071809,Permanent,Data Scientist,IBM INNOVATION SERVICES PTE. LTD.,Posted 26 Mar 2020,3,Professional,Information Technology,You lead designing developing systems processes consolidate analyse structured unstructured data diverse data sources generate actionable insights Collaborate shared services subject matter experts (SMEs) drive operationalize analytical cognitive prototypes You enable ensuring continue applying latest technologies data science artificial intelligence cognitive fields Identify new data sources generating meaningful insights multiple sources interpret communicate insights findings analysis experiments IBM teams stakeholders Develop models perform statistical analysis identify key across range Quote Cash functions Design implement users tracking feedback capture actions analyse impact business outcomes implementation deployment analytics cognitive solutions Design build test deploy scalable efficient Spark ecosystem components Monitor Spark cluster performance capacity planning A Degree quantitative field (Statistics Mathematics Operations Research Economics Bioinformatics Computer Science ). A postgraduate degree involving research quantitative field plus. 3-5 working data sets build statistical models Strong statistical probability theories descriptive statistics hypothesis testing regression Excellent understanding machine learning techniques algorithms Logistic Regression Decision Trees Random Forrest Support Vector Machines Clustering Expertise various data science methods ( .e. CRISP-DM data understanding & preparation feature engineering well model training evaluation validation) Experience common data science languages libraries R Python (NumPy Pandas Scikit) SQL noSQL Scala Weka MatLab Experience data visualization techniques tools Cognos Analytics Tableau Plotly Familiarity data science cloud platforms limited IBM Cloud products (e.g. Watson Assistant Watson Studio Bluemix ) Knowledge data mining data engineering techniques Great communication (oral written) strong player Ability learn new techniques thrive fast-changing environment Ability translate complex abstract problems technical requirements Experience NoSQL databases Cloudant MongoDB Cassandra HBase Experience distributed computing tools like Hadoop stack Spark Pig Hive . Experience working Linux environment command line tools scripting languages Bash Experience Deep Learning frameworks TensorFlow Caffe CNTK Torch DL4J,6500.0,12000.0,9250.0,High,%degree%computer science%engineering%statistic%math%business,python%scala%hadoop%sql%spark%tensorflow%scikit%linux%caffe%deep learning%cassandra%tableau%pandas%hive%machine learning%bash%cloud%bash
MCF-2020-0070901,Contract Permanent,Data Scientist (Scientific Infrastructure and Analytics) ICES,A*STAR RESEARCH ENTITIES,Posted 25 Mar 2020,2,Non-executive,Sciences  Laboratory  R&D,Work researchers establish data model harmonise material chemical control information analytical chemistry catalyst development chemistry/process development Collaborate process owners data IT establish data management process appropriate governance accuracy completeness data. Apply data sciences methodologies techniques build management predictive analytics identifying trends scientific operational datasets. Work management develop data sciences strategy framework including limited identifying capturing data needed solve complex chemistry/process issues data storage compute processing analysis search visualizations reporting dashboards self-service. Work researchers create maintain libraries data tools aid enhance efficiency effectiveness research activities ICES Act consultant project teams application process modeling support catalyst chemistry/process development. Support building data-driven culture data-driven organization data-driven decision making quantitative analysis Be develop analytical methods apply business problems involving large data right algorithms appropriate optimization techniques models Actively engage partner form internal external business IT vendor stakeholders network data partners PhD Masters Degree Science Computer Science domain preferred. (Experience 2-5 (PhD) 5 (Masters) Ability strong drive manage develop improve processes operations technology provide solutions highly complex problems apply high degree creativity innovation. Working large data management analysis well strategies visualization communication Strong foundation statistical analysis programming data mining database management data security data visualization applied data science. Knowledge querying programming languages platforms R Python JAVA C++ Python .NET SQL Working artificial intelligence techniques including Artificial Neural Networks (ANNs) Genetic Algorithms (GAs) Swarm Intelligence Multi-objective Optimizations Fuzzy Logic Systems Good foundational understanding chemistry chemical engineering desirable Excellent communication oral written Flexibility respond quickly changing job demands prioritize multiple responsibilities Ability plan/organize tasks consistently produce high quality results documentation Ability efficiently multi-disciplined cross-functional environment,4500.0,9000.0,6750.0,High,phd%master%degree%computer science%engineering%statistic%business,python%java%sql%c++%optimization%.net
MCF-2020-0070875,Contract Permanent,Modelling and Simulation Scientist / Engineer (Scientific Infrastructure and Analytics) ICES,A*STAR RESEARCH ENTITIES,Posted 25 Mar 2020,2,Non-executive,Sciences  Laboratory  R&D,Build validate effective modeling workflow including limited prediction statistical models batch continuous process optimization. Partner researchers across ICES A*STAR identify opportunities application process modeling quantify risk enable decision-making material (eg. catalyst) process development. Develop validate predictive tools identify opportunities put forward plans development. Identify develop basic advance process control strategies applications involving catalyst development process development scale- . Build models applications requiring predictive control (MPC) model predictive control. Perform experiments optimize validate models control strategies. Collaborate researchers create maintain libraries equipment unit operation models develop modern process modeling methodologies techniques. Collaborate researchers designing new / process equipment Act consultant project teams application process modeling support catalyst chemistry/process development. Collaborate others prepare research proposals reports technical presentations. PhD Masters Chemical Engineering Chemistry Material Science domain (Experience 2-5 (PhD) 5+ (Masters)) Excellent chemical engineering principles process modeling process control optimization methodologies including: reaction chemical thermodynamics heat transport engineering statistics modeling simulation. Experience advanced mathematical modeling creation custom models relevant chemical processes defining mathematical frameworks validation process models Excellent reaction modeling prediction simulation computational tools eg. gPROMs CFD Pyomo AspenOne Dynochem Matlab/Simulink Statistical methods . Knowledge querying programming languages platforms R Python JAVA C++ Python .NET SQL. Experience Basic Process Control Advanced Process Control PLC/DCS configuration troubleshooting computers architecture industrial networks preferred. Working artificial intelligence techniques including Artificial Neural Networks (ANNs) Genetic Algorithms (GAs) Swarm Intelligence Multi-objective Optimizations Fuzzy Logic Systems Good foundational understanding chemistry desirable Excellent communication oral written Flexibility respond quickly changing job demands prioritize multiple responsibilities Ability plan/organize tasks consistently produce high quality results documentation Ability efficiently multi-disciplined cross-functional environment,4500.0,9000.0,6750.0,High,phd%master%engineering%statistic%math,python%java%sql%c++%optimization%.net
MCF-2020-0071117,Permanent,Lead Data Scientist (Fintech),MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Posted 25 Mar 2020,7,Manager,Consulting Information Technology Sciences  Laboratory  R&D,Lead development validation high-impact statistical machine learning quantitative models used enhance product features solutions real-world issues Contribute product architecture planning major systems features Guide mentor multi-disciplined Data Science Data Engineering research-oriented collaborative culture innovative technology implementation scale Work fast-paced environment tight deliverable communicate effectively multiple stakeholders Working Singapore needed 7 relevant including 1 exposure payments banking FinTech Minimum Masters PhD equivalent quantitative field (Computer Science Mathematics Engineering Artificial Intelligence .) Advanced statistical machine learning models: Logistic Regression Support Vector Machines random forests XGBoost Deep Learning models (CNNs/RNNs) Proficient scikit-learn Python Pandas Hadoop Spark SQL . Proficiency Amazon Web Services Proficiency Neo4J OrientDB AllegroGraph JanusDB . Additional proficiency Natural Language Processing Additional proficiency Keras TensorFlow Caffe Torch/PyTorch Spark MLlib Deep Learning framework Track record leading data science projects delivering end end.,8000.0,10000.0,9000.0,High,phd%master%computer science%engineering%statistic%math,python%hadoop%sql%spark%tensorflow%scikit%pytorch%caffe%deep learning%pandas%machine learning%natural language%keras
MCF-2020-0070586,Permanent,Senior Staff Data Scientist,SEAGATE SINGAPORE INTERNATIONAL HEADQUARTERS PTE. LTD.,Posted 24 Mar 2020,7,Professional,Engineering Manufacturing Sciences  Laboratory  R&D,Work business unit subject matter experts identify prioritize answer important business questions development innovative algorithms visualizations modern analytical techniques inDataMining Machine Learning Statistics Execute Industry 4.0 Prognostics Health Management projects Seagate APAC Operations stakeholders Technical lead data science manage analytics projects area Deep Learning Develop data mining algorithms perform data wrangling exploration Design develop implement appropriate machine learning deep learning algorithms solve stakeholders analytics challenges Leverage / develop machine learning methods solve novel diverse business problems Quantify effectiveness value innovations subject matter experts Provide technical coaching junior analytics staff Highly proficient Python SQL R Solid technical machine learning deep learning statistical algorithms data mining data structures Hands- Keras Tensorflow XGBoost CNN GAN RNN Time Series Analysis Experience full-stack software development. Knowledge Hadoop Spark. Ability deploy data science solutions cloud analytics infrastructure Version control systems Git. Understanding software development best practices Demonstrate Leadership Ability lead mentor junior staff close technical projects Teamwork self-motivated. Self-starter. Ability drive initiatives influence. Ability alone well environment Strong oral written communication . Strong business mindset condense complex analysis technical concepts clear concise takeaways business leaders A collaborative attitude global mindset well native non-native English Able participate conference calls outside regular local hours Working : Industrial IoT Sensing & Devices Predictive Maintenance Prognostics & Health Management Industry 4.0 . Knowledge Time-series analysis Thesis research topics predictive analytics pattern recognition image -driven prognostics fault diagnostics time-series analysis natural language processing artificial intelligence machine learning Proficiency Java JavaScript would plus,7000.0,14000.0,10500.0,High,%statistic%business,python%java%hadoop%sql%spark%tensorflow%deep learning%git%machine learning%natural language%cloud%keras
