Job_Id,Emp_Type,Job_Title,Company,Date_Posted,Year_Experience,Seniority,Category,Requirements,Min_Salary,Max_Salary,Avg_Salary,Salary_range,Information Technology,Telecommunications,Engineering,Sciences,Finance,Healthcare,Management,Consulting,Logistics,Civil,Others,python,java,scala,hadoop,sql,spark,tensorflow,scikit,linux,pytorch,theano,caffe,Matlab,perl,deep learning,nlp,apache,mapreduce,aws,azure,container,kafka,cassandra,c\++,julia,jupyter,nltk,tableau,power bi,sas,pandas,git,hive,impala,agile,machine learning,bash,natural language,oracle,cloud,flask,golang,optimization,c#,opencv,computer vision,api,jira,unix,docker,keras,qlik,gcp,scrum,airflow,.net,d3.js
MCF-2020-0072476,Permanent,Data Analyst,LINGJACK ENGINEERING WORKS PTE LTD,Posted 26 Mar 2020,2,Executive,Information Technology,perform data analysis labelling modelling and programming for the implementation of artificial intelligence system. responsible for ensuring project delivery on time on schedule and with quality engage in project conceptualization defining project scope and providing business solutions liaise and advising multiple stakeholders and managing their expectations   degree in information systems computer engineering or computer science at least 2 years of experience in project management background in artificial intelligence technologies is required knowledge and hands-on exposure in raw data processing computer vision and sensor fusion using camera good understanding of the latest research and technologies in artificail intelligence,5000.0,7000.0,6000.0,Med,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MCF-2020-0071871,Contract Permanent,Research Engineer (Computer Science / Aerospace Engineering / Applied Mathematics) R00001676,NANYANG TECHNOLOGICAL UNIVERSITY,Posted 26 Mar 2020,2,Professional,Sciences  Laboratory  R&D,conduct research and development related to artificial intelligence and machine learning applied to air traffic management (atm) develop algorithms and models perform data processing & mining and perform analytics for future atm systems provide support on the implementation and verification of an ai-based remote tower control assistance system   bachelors degree or higher in computer science aerospace engineering or applied mathematics (bachelor s degree with minimum four years of work experience master s degree with minimum two years of work experience) deep understanding and experience in the theory and application of ai and machine learning techniques programming experience and knowledge of python matlab r and/or c++ demonstrated project experience related to airport or air traffic management will be advantageous to the role experience of sound software engineering practices including data management software version control and database design will be a advantageous to the role understanding of statistical methods and/or probability theory will be a plus good english writing and communication skills independent and team player,4500.0,6000.0,5250.0,Med,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCF-2020-0071841,Permanent,Full Stack Engineer,OTSAW DIGITAL PTE. LTD.,Posted 26 Mar 2020,2,Executive,Engineering,develop software for robot fleet management log management & analytic. develop software system to improve development team productivity streamline software development & testing process. manage outsource developers in charge of project planning code review qa/qc. streamline installation deployment automated testing of robotic software system develop software system to improve internal team productivity streamline software development & testing process develop and maintain backend service and infrastructure for fleet management log management analytic.   min. education qualification in bachelor degree in computer engineer / engineer or other relevant field. interest in robotics field. experience in robotic software development is a plus experience in setting up devops ci/cd pipeline docker experience in designing and implementation of backend software services experience in python javascript typescript sql linux bash scripting git html java objectivec swift experience in video streaming protocol is a plus experience in agile development process & remote team management.,4000.0,7500.0,5750.0,Med,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MCF-2020-0072361,Permanent,Product Manager - Payments,MICHAEL PAGE INTERNATIONAL PTE LTD,Posted 26 Mar 2020,5,Professional,Information Technology,join a hypergrowth fintech  own end-to-end product strategy with full ownership on the product    be a superb a communicator: you can educate inform and influence with a wide spectrum of internal stakeholders as well as clients to ensure products are on track to delivery and relevant to market and client needs need good product management skills: you will be responsible for the end-to-end product cycle: from the ideation to execution and optimisation of the product. you will be developing the product strategy and roadmap be able to make data-driven decisions: you will need to utilise the information collected and iterate the product accordingly through identifying core issues start-up/entrepreneurial mind: even with superb backing our client remains steadfast in keeping a fast moving fast acting autonomous spirit. you can and love to roll up your sleeves to get the job done   bachelors  and above degree in any relevant discipline 5 or more years  of experience in the product management previous experience in end-to-end product management of payment products within the sea region is preferred ability to manage internal stakeholders across seniorities and functions analytical and hands-on approach with both business and technical teams,10000.0,12000.0,11000.0,High,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCF-2020-0072360,Contract Permanent,Senior Research Engineer (Computer Science),NANYANG TECHNOLOGICAL UNIVERSITY,Posted 26 Mar 2020,5,Manager,Information Technology,data mining from massive data from documents to gain insights and identify patterns design and implement artificial intelligence (ai) and machine learning (ml) engines through in-depth research and experiments application of ai and ml in knowledge and information retrieval (ir) relevancy ranking with spatiotemporal consideration conduct translational research to apply the state-of-the-art solutions at scale for real world challenges documentation and scientific reporting mentoring junior staff   phd in computer science minimum 5 years software development experience experience and excellent research background in ai ml data science and related areas passionate about ai-related research innovations and their applications proficient in one or more programming languages (e.g. python c/c++ etc.) and research packages/modules experience in large-scale text processing and analytics good track records in publication,5500.0,8250.0,6875.0,High,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCF-2020-0071809,Permanent,Data Scientist,IBM INNOVATION SERVICES PTE. LTD.,Posted 26 Mar 2020,3,Professional,Information Technology,you will lead in designing and developing systems and processes to consolidate and analyse both structured and unstructured data from diverse data sources to generate actionable insights collaborate with shared services team and subject matter experts (smes) to drive and operationalize analytical and cognitive prototypes   you will enable the team in ensuring that we continue to be at the frontline of applying the latest technologies in data science artificial intelligence and cognitive fields identify new data sources for generating meaningful insights from multiple sources interpret and communicate insights and findings from analysis and experiments to ibm teams and stakeholders develop models and perform statistical analysis to identify key areas across a range of quote to cash functions design and implement users tracking and feedback mechanisms to capture actions and analyse the impact on business outcomes following implementation and deployment of analytics and cognitive solutions design build test and deploy scalable and efficient spark ecosystem components monitor spark cluster for performance and capacity planning   a degree in a quantitative field (statistics mathematics operations research economics bioinformatics computer science etc). a postgraduate degree involving research in quantitative field will be a plus. 3-5 years of experience in working with data sets to build statistical models strong statistical skills such as in probability theories descriptive statistics hypothesis testing regression etc excellent understanding of machine learning techniques and algorithms such as logistic regression decision trees random forrest support vector machines and clustering expertise in various data science methods (i.e. crisp-dm data understanding & preparation feature engineering as well as model training evaluation and validation) experience with common data science languages and libraries such as r python (numpy pandas scikit) sql nosql scala weka matlab etc experience with data visualization techniques and tools such as cognos analytics tableau plotly etc familiarity with data science and cloud platforms such as but not limited to ibm cloud products (e.g. watson assistant watson studio bluemix etc) knowledge in data mining and data engineering techniques great communication (oral and written) skills and strong team player ability to learn new techniques and thrive in fast-changing environment ability to translate complex and abstract problems into technical requirements   experience with nosql databases such as cloudant mongodb cassandra hbase experience with distributed computing tools like the hadoop stack spark pig hive etc. experience working with linux environment command line tools and scripting languages such as bash experience with deep learning frameworks such as tensorflow caffe cntk torch dl4j etc,6500.0,12000.0,9250.0,High,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCF-2020-0070901,Contract Permanent,Data Scientist (Scientific Infrastructure and Analytics) ICES,A*STAR RESEARCH ENTITIES,Posted 25 Mar 2020,2,Non-executive,Sciences  Laboratory  R&D,work with researchers to establish a data model to harmonise material chemical piloting and control information derived from analytical chemistry catalyst development and chemistry/process development collaborate with process owners data stewards and it to establish a data management process with the appropriate governance to sustain the accuracy and completeness of data. apply data sciences methodologies techniques to build knowledge management predictive analytics and identifying trends in scientific and operational datasets. work with management to develop a data sciences strategy and framework including but not limited to identifying and capturing data needed to solve complex chemistry/process issues data cataloguing storage compute processing analysis search and visualizations for reporting dashboards and self-service. work with researchers to create and maintain libraries of data tools to aid and enhance efficiency and effectiveness of research activities in ices act as a consultant to project teams for application of process modeling in support of catalyst and chemistry/process development. support building a data-driven culture and data-driven organization conducive to data-driven decision making quantitative analysis be able to develop analytical methods to apply to business problems involving large quantities of data choosing the right algorithms appropriate optimization techniques and models actively engage partner with and form alliances both internal and external between business it and vendor stakeholders to cultivate a network of data partners   phd or masters degree in science computer science or related domain preferred. (experience 2-5 years (phd) 5 years or more (masters)  ability with strong drive to manage develop and improve processes operations and technology to provide solutions to highly complex problems and apply a high degree of ingenuity creativity and innovation.  working knowledge and experience on large data management and analysis as well as strategies for visualization and communication  strong foundation in statistical analysis programming data mining database management data security data visualization and applied data science.  knowledge of querying programming languages and platforms such as r python java c++ python .net and sql  working experience and knowledge on artificial intelligence techniques including artificial neural networks (anns) genetic algorithms (gas) swarm intelligence multi-objective optimizations and fuzzy logic systems  good foundational understanding of chemistry or chemical engineering is desirable  excellent communication skills both oral and written  flexibility to respond quickly to changing job demands and prioritize multiple responsibilities  ability to plan/organize tasks and consistently produce high quality results and documentation  ability to work efficiently in a multi-disciplined cross-functional environment,4500.0,9000.0,6750.0,High,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MCF-2020-0070875,Contract Permanent,Modelling and Simulation Scientist / Engineer (Scientific Infrastructure and Analytics) ICES,A*STAR RESEARCH ENTITIES,Posted 25 Mar 2020,2,Non-executive,Sciences  Laboratory  R&D,build and validate effective modeling workflow including but not limited to properties prediction mechanistic or statistical models batch or continuous process optimization. partner with researchers from across ices and a*star to identify opportunities for application of process modeling to quantify risk and enable decision-making for material (eg. catalyst) or process development. develop and validate predictive tools identify opportunities and put forward plans for their expansion and development. identify and develop basic and advance process control strategies for applications involving catalyst development process development and scale-up. build models in applications requiring multivariable predictive control (mpc) or model predictive control. perform experiments to optimize and validate models and control strategies. collaborate with researchers to create and maintain libraries of equipment and unit operation models and develop modern process modeling methodologies and techniques. collaborate with researchers in designing of new reactors and/or process equipment act as a consultant to project teams for application of process modeling in support of catalyst and chemistry/process development. collaborate with others to prepare research proposals reports and technical presentations.   phd or masters in chemical engineering chemistry material science or related domain (experience 2-5 yrs (phd) 5+ years (masters)) excellent knowledge of chemical engineering principles process modeling process control and optimization methodologies including: reaction kinetics reactor design chemical thermodynamics heat and mass transport engineering statistics modeling and simulation. experience in advanced mathematical modeling such as creation of custom models relevant to chemical processes defining mathematical frameworks and validation of process models excellent knowledge in reaction modeling property prediction and simulation computational tools eg. gproms cfd pyomo aspenone dynochem matlab/simulink statistical methods etc. knowledge of querying programming languages and platforms such as r python java c++ python .net and sql. experience in basic process control and advanced process control methologies plc/dcs configuration and troubleshooting computers and architecture of industrial networks is preferred. working experience and knowledge on artificial intelligence techniques including artificial neural networks (anns) genetic algorithms (gas) swarm intelligence multi-objective optimizations and fuzzy logic systems is prefered good foundational understanding of chemistry is desirable excellent communication skills both oral and written flexibility to respond quickly to changing job demands and prioritize multiple responsibilities ability to plan/organize tasks and consistently produce high quality results and documentation ability to work efficiently in a multi-disciplined cross-functional environment,4500.0,9000.0,6750.0,High,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MCF-2020-0071117,Permanent,Lead Data Scientist (Fintech),MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Posted 25 Mar 2020,7,Manager,Consulting Information Technology Sciences  Laboratory  R&D,lead the development and validation of high-impact statistical and machine learning quantitative models used to enhance product features and solutions of real-world issues contribute to product design and architecture planning of major systems and features guide and mentor a multi-disciplined data science and data engineering team to forge a research-oriented and collaborative culture through innovative technology implementation at scale work in a fast-paced environment with tight deliverable timeframes and able to communicate effectively with multiple stakeholders   working experience in singapore needed 7 or more years of relevant work experience including at least 1 year of exposure to payments banking or fintech minimum masters or phd or equivalent experience in a quantitative field (computer science mathematics engineering artificial intelligence etc.) advanced knowledge of statistical and machine learning models: logistic regression support vector machines random forests xgboost deep learning models (cnns/rnns) proficient in scikit-learn in python pandas hadoop spark sql etc. proficiency in using amazon web services proficiency in using neo4j orientdb allegrograph janusdb etc. additional advantage with proficiency in natural language processing additional advantage with proficiency in using keras tensorflow caffe torch/pytorch spark mllib or any other deep learning framework track record in leading data science projects and delivering from end to end.,8000.0,10000.0,9000.0,High,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MCF-2020-0070586,Permanent,Senior Staff Data Scientist,SEAGATE SINGAPORE INTERNATIONAL HEADQUARTERS PTE. LTD.,Posted 24 Mar 2020,7,Professional,Engineering Manufacturing Sciences  Laboratory  R&D,work with business unit subject matter experts to identify prioritize and answer important business questions through the development of innovative algorithms and visualizations using modern analytical techniques indatamining machine learning and statistics execute industry 4.0 and prognostics and health management projects for seagate s apac operations stakeholders technical lead of data science and manage analytics projects in the area of deep learning develop data mining algorithms perform data wrangling and exploration design develop and implement appropriate machine learning and deep learning algorithms to solve stakeholders  analytics challenges leverage and/or develop innovativedatamining and machine learning methods to solve novel and diverse business problems quantify the effectiveness and value of innovations with subject matter experts provide technical advice and coaching to the junior analytics staff   highly proficient in python sql and r solid technical knowledge in machine learning deep learning statistical algorithms data mining and data structures hands-on knowledge in keras tensorflow xgboost cnn gan rnn and time series analysis experience and knowledge in full-stack software development. knowledge in hadoop spark. ability to deploy data science solutions in cloud analytics infrastructure version control systems such as git. understanding of software development best practices demonstrate leadership skills  ability to lead a team mentor junior staff and close out technical projects teamwork and self-motivated. self-starter. ability to drive initiatives and influence. ability to work alone as well as in a team environment strong oral and written communication skills. strong business mindset ability to condense complex analysis and technical concepts into clear and concise takeaways for business leaders a collaborative attitude and a global mindset with an ability to work well with native and non-native english speaker able to participate in conference calls outside of regular local work hours   working experience: industrial iot sensing & devices predictive maintenance prognostics & health management and other industry 4.0 areas. knowledge in time-series analysis thesis or research experience in topics related to predictive analytics such asdatamining pattern recognition image processingdata-driven prognostics fault diagnostics time-series analysis natural language processing artificial intelligence and machine learning proficiency in java and javascript would be a plus,7000.0,14000.0,10500.0,High,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
