,Job_Id,Emp_Type,Job_Title,Company,Date_Posted,Salary_Range,Salary_Type,Year_Experience,Seniority,Category,Requirements
0,[b'MCF-2020-0045240'],"[b'Contract, Full Time']","[b'Scientist (Machine Intellection), I2R']",[b'A*STAR RESEARCH ENTITIES'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$9,000</span></div>']",[b'Monthly'],[],[b'Professional'],[b'Sciences / Laboratory / R&amp;D'],"['\nDeveloping, enhancing, automating, and managing analytics models\nCreating visualizations to unveils insight faster and effectively.\nDevelop practical data-driven solutions\nPerform data cleanup, normalization and transformation and examine data from multiple diverse data sources\nProcess optimization design based on historical data\nEnsure the integrity and security of institutional data\n, \nPhD in Computer Science, Mathematics and/or Statistics degree, Electrical Engineering, Physics, Civil Engineering, Chemical, Biochemical Engineering, with experience in data analytics\nExpertise in problem formulation and solving\nExperience working in a field related to statistics or data mining\nExperience performing data manipulation and pattern analysis\nExperience in applying Machine Learning algorithms\nProficiency in multiple programming languages, with particular emphasis on Python, R, Matlab, Java, and SQL\nExperience in working in a cross-functional team environment with multifunctional stakeholder\nExcellent written and verbal communication skills\nAbility to work independently, as well as in teams, highly desired\n']"
1,[b'MCF-2020-0045289'],"[b'Contract, Full Time']","[b'Scientist (Machine Intellection), I2R']",[b'A*STAR RESEARCH ENTITIES'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$9,000</span></div>']",[b'Monthly'],[],[b'Professional'],[b'Sciences / Laboratory / R&amp;D'],"['\nProtein nodes discovering in cancer\nBiomarker detection and clustering\nCorrelation analysis\n, \n2/3/4D image segmentation\nImage based measurement\nGene sequence analysis\nAnomaly detection\n, \nPhD in Computer Science, Statistics, or Data Science\nStrong knowledge in deep learning applied to healthcare domain\nExpertise in one or more healthcare and medicine topics, such as survival rate prediction, biomarker detection, 3D segmentation, etc\nAbility to work independently, as well as in teams highly desired\nGood communication skills for proposals, reports, and publications\nProficiency in spoken and written English\nExperience with one of TensorFlow, Pytorch, Theano, Caffe, CNTK\nStrong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB)\nExperience with machine learning at scale is a plus\n']"
2,[b'MCF-2020-0045282'],"[b'Contract, Full Time']","[b'Scientist (Machine Intellection), I2R']",[b'A*STAR RESEARCH ENTITIES'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$9,000</span></div>']",[b'Monthly'],[],[b'Professional'],[b'Sciences / Laboratory / R&amp;D'],"['\nProtein nodes discovering in cancer\nBiomarker detection and clustering\nCorrelation analysis\n, \n2/3/4D image segmentation\nImage based measurement\nGene sequence analysis\nAnomaly detection\n, \nPhD in Computer Science, Statistics, or Data Science\nStrong knowledge in deep learning applied to healthcare domain\nExpertise in one or more healthcare and medicine topics, such as survival rate prediction, biomarker detection, 3D segmentation, etc\nAbility to work independently, as well as in teams highly desired\nGood communication skills for proposals, reports, and publications\nProficiency in spoken and written English\nExperience with one of TensorFlow, Pytorch, Theano, Caffe, CNTK\nStrong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB)\nExperience with machine learning at scale is a plus\n']"
3,[b'MCF-2020-0072490'],[b'Permanent'],"[b'Data Science Experimentation Specialist, Apple Media Products']",[b'APPLE SOUTH ASIA PTE. LTD.'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$8,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$16,000</span></div>']",[b'Monthly'],[b'10 years  exp'],[b'Executive'],[b'Engineering'],['']
4,[b'MCF-2020-0072489'],[b'Permanent'],"[b'Data Science Experimentation Specialist, Apple Media Products']",[b'APPLE SOUTH ASIA PTE. LTD.'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$6,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$11,000</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Executive'],[b'Engineering'],['']
5,[b'MCF-2020-0071809'],[b'Full Time'],[b'Data Scientist '],[b'IBM INNOVATION SERVICES PTE. LTD.'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$6,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$12,000</span></div>']",[b'Monthly'],[b'3 years  exp'],[b'Professional'],[b'Information Technology'],"['\nYou \xa0will lead in designing and developing systems and processes to \xa0consolidate and analyse both structured and unstructured data from \xa0diverse data sources to generate actionable insights\nCollaborate \xa0with shared services team and subject matter experts (SMEs) to drive \xa0and operationalize analytical and cognitive prototypes\n, \nYou \xa0will enable the team in ensuring that we continue to be at the \xa0frontline of applying the latest technologies in data science, \xa0artificial intelligence and cognitive fields\nIdentify \xa0new data sources for generating meaningful insights from multiple \xa0sources; interpret and communicate insights and findings from analysis \xa0and experiments to IBM teams and stakeholders\nDevelop models and perform statistical analysis to identify key areas across a range of Quote to Cash functions\nDesign \xa0and implement users tracking and feedback mechanisms to capture actions \xa0and analyse the impact on business outcomes, following implementation \xa0and deployment of analytics and cognitive solutions\nDesign, build, test and deploy scalable and efficient Spark ecosystem components\nMonitor Spark cluster for performance and capacity planning\n, \nA \xa0Degree in a quantitative field (Statistics, Mathematics, Operations \xa0Research, Economics, Bioinformatics, Computer Science, etc). A \xa0postgraduate degree involving research in quantitative field will be a \xa0plus.\n3-5 years of experience in working with data sets to build statistical models\nStrong statistical skills such as in probability theories, descriptive statistics, hypothesis testing, regression, etc\nExcellent \xa0understanding of machine learning techniques and algorithms such as \xa0Logistic Regression, Decision Trees, Random Forrest, Support Vector \xa0Machines, and Clustering\nExpertise \xa0in various data science methods (i.e. CRISP-DM, data understanding \xa0& preparation, feature engineering, as well as model training, \xa0evaluation and validation)\nExperience \xa0with common data science languages and libraries such as R, Python \xa0(NumPy, Pandas, Scikit), SQL, noSQL, Scala, Weka, MatLab, etc\nExperience with data visualization techniques and tools such as Cognos Analytics, Tableau, Plotly, etc\nFamiliarity \xa0with data science and cloud platforms such as but not limited to IBM \xa0Cloud products (e.g. Watson Assistant, Watson Studio, Bluemix, etc)\nKnowledge in data mining and data engineering techniques\nGreat communication (oral and written) skills and strong team player\nAbility to learn new techniques and thrive in fast-changing environment\nAbility to translate complex and abstract problems into technical requirements\n, \nExperience with NoSQL databases such as Cloudant, MongoDB, Cassandra, HBase\nExperience with distributed computing tools like the Hadoop stack, Spark, Pig, Hive etc.\nExperience working with Linux environment, command line tools and scripting languages such as Bash\nExperience with Deep Learning frameworks such as TensorFlow, Caffe, CNTK, Torch, DL4J, etc\n']"
6,[b'MCF-2020-0072203'],[b'Full Time'],[b'Data Engineer'],[b'PUMAS AUTOMATION &amp; ROBOTICS PTE LTD'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$6,000</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Professional'],"[b'Consulting, Engineering, Information Technology']","['\nDevelop and design the architecture for IIoT data ingestion and processing to build smart factory solutions.\nProvide our customers and the team with data analytics and intelligence.\nEngineer and deploy scalable infrastructure and big-data tools to enable applications such as real-time abnormally detection and predictive capabilities.\n, \nBackground in computer science or engineering.\nAbility to pull data from many different sources, analyze, extract, normalize, and organize \xa0\xa0\xa0\xa0\xa0relevant information.\nDeep knowledge of descriptive, diagnostic, predictive and prescriptive data analytics.\nIndustry experience in data science and analysis, exposure to structured, semi-structured and non-structured data.\nGood knowledge of Python and analytics libraries. Additional knowledge in web technologies JavaScript, REST, Java and .net is a plus.\nGood understanding of software development life cycle, from defining user requirements to \xa0\xa0\xa0\xa0\xa0testing and deployment.\nSound knowledge of Machine Learning (ML), building Deep Learning (DL) models a plus.\nExperience with manufacturing data a plus.\nExposure to Big data technology eg. Cassandra, Hadoop, Apache Spark.\nPrevious exposure to IaaS platforms such as Azure, Google and AWS.\n']"
7,[b'MCF-2020-0071983'],[b'Permanent'],[b'Data Scientist'],[b'SINGAPORE TECHNOLOGIES ENGINEERING LTD'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$8,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$10,500</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Manager'],[b'Information Technology'],['']
8,[b'MCF-2020-0071980'],[b'Permanent'],[b'Data Scientist'],[b'SINGAPORE TECHNOLOGIES ENGINEERING LTD'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$5,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$8,000</span></div>']",[b'Monthly'],[b'4 years  exp'],[b'Manager'],[b'Information Technology'],['']
9,[b'MCF-2020-0072360'],"[b'Contract, Full Time']",[b'Senior Research Engineer (Computer Science)'],[b'NANYANG TECHNOLOGICAL UNIVERSITY'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$5,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$8,250</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Manager'],[b'Information Technology'],"['\nData mining from massive data from documents to gain insights and identify patterns\nDesign and implement artificial intelligence (AI) and machine learning (ML) engines through in-depth research and experiments\nApplication of AI and ML in knowledge and information retrieval (IR), relevancy ranking with spatiotemporal consideration\nConduct “translational” research to apply the state-of-the-art solutions at scale for real world challenges\nDocumentation and scientific reporting\nMentoring junior staff\n, \nPhD in computer science\nMinimum 5 years software development experience\nExperience and excellent research background in AI, ML, data science and related areas\nPassionate about AI-related research, innovations and their applications\nProficient in one or more programming languages (e.g., Python, C/C++, etc.) and research packages/modules\nExperience in large-scale text processing and analytics\nGood track records in publication\n']"
