,Job_Id,Emp_Type,Job_Title,Company,Date_Posted,Salary_Range,Salary_Type,Year_Experience,Seniority,Category,Requirements
0,[b'MCF-2020-0072590'],"[b'Permanent, Full Time']",[b'Director of Sales and Operations'],[b'WECHAIN FINTECH PTE. LTD.'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$7,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$12,000</span></div>']",[b'Monthly'],[b'7 years  exp'],[b'Senior Management'],"[b'Banking and Finance, General Management, Information Technology, Sales / Retail']",['']
1,[b'MCF-2020-0072757'],"[b'Part Time, Permanent']",[b'Compliance Officer'],[b'BIKI PTE. LTD.'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$5,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$8,000</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Middle Management'],"[b'Accounting / Auditing / Taxation, Banking and Finance, Consulting, Risk Management']","[""\nAssist the company to set up compliance infrastructure in Singapore and apply for the payment service license;\nBuild up the compliance system and procedure for the entity for license application;\nEngage regular communication with the authorities;\nHandle daily compliance work pursuant to regulatory requirements and maintain license validity;\nTake in charge of the daily maintenance of the license, including file consolidations and filing;\nRepresent the business in engaging with regulators (particularly MAS), internal and external auditors as well as external authorities\nDraft, develop and implement a robust compliance framework, internal controls as well as an effective KYC/AML programme in accordance with local laws and regulations\nAdvise and support the business on all compliance-related matters (AML and non-AML) and ensure policies and procedures are adhered to\nKeep abreast of key developments in Singapore and global regulatory landscape and proactively keep senior management updated on such changes\nAssist to provide training, recommend solutions and provide regulatory compliance advice to the management, business stakeholders and support functions\nFollow relevant legal developments in financial services laws and regulations and advise management on implications.\n, \nAt least 3-5 years of relevant compliance roles experience from banks, payment or financial institutions, fintech, blockchain or cryptocurrency companies.\nFamiliar with the financial laws and regulations in Singapore.Prior experience in cryptocurrency and/or digital wallets/platforms would be an added advantage\nComprehensive knowledge of MAS regulations and the local regulatory landscape\nStrong compliance knowledge and skills, able to work independently in a fast-paced environment.\nExcellent command of both spoken and written English. Mandarin Chinese capability is preferred but not mandatory in order to communicate with Mandarin speaking counterparts.\nTeam player, good interpersonal skills and communicate well.\n, \nWe work in a young, fast paced and energetic culture\nWe train and groom our talents to grow together with us and continue seeking for improvement.\nGreat benefits and regular staff event/activity\nAttractive Annual Bonus depending on the company's revenue & performance\n""]"
2,[b'MCF-2020-0030524'],"[b'Permanent, Full Time']",[b'Front End Engineer'],[b'8BIT GLOBAL PTE. LTD.'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$5,000</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Executive'],[b'Others'],"['\nDevelop well-designed, tested code using best practices for web-app development, including mobile and responsive site design.\nDevelop web user interfaces, using standard HTML/CSS practices, while incorporating data from back-end databases and services.\nDevelop or validate testing schedules, addressing all browsers and devices to ensure various computers can access the web-app.\nMaintain updated knowledge of new and emerging industry trends and technology.\nMeet regularly with business stakeholders and management to understand and refine business and functional requirements and determine project scopes and specifications.\nEnsure software stability via regression, support quality assurance, and perform unit and user-acceptance testing to identify bugs and ensure production operations run successfully.\nWork quickly and carefully to complete tasks, develop plans for completing larger projects, collaborate with team members, and suggest new solutions.\nPerform UI/UX coding, creating reusable objects and templates.\n, \nBachelor’s degree in web-developing, multimedia design, or related field.\nAt least 2 years’ experience planning and developing web-applications.\nWorking knowledge of web applications, programming languages, and web services, such as APIs, CSS, CSS3, cross-browser compatibility, HTML, HTML5, JavaScript security principles, REST, \xa0SOAP, and web user interface design (UI).\nWorking knowledge of Angular 5 (or above)\nDedication to innovative, sophisticated designs and collaborative problem solving.\nWorking experience in MacOS and Linux environments.\nExperience implementing and using modern web development workflows and operations using Scrum and Git.\n']"
3,[b'MCF-2020-0072074'],"[b'Contract, Permanent, Full Time']",[b'Project Manager (Fintech)'],[b'NTT DATA SINGAPORE PTE. LTD.'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$6,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$8,000</span></div>']",[b'Monthly'],[b'8 years  exp'],[b'Senior Executive'],[b'Information Technology'],['']
4,[b'MCF-2020-0072355'],[b'Full Time'],[b'Head of Product - Payments'],[b'MICHAEL PAGE INTERNATIONAL PTE LTD'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$12,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$15,000</span></div>']",[b'Monthly'],[b'10 years  exp'],[b'Professional'],[b'Information Technology'],"[""\nJoin a fast-growing FinTech start up from it's initial stages\n\nOwn end-to-end product strategy with full ownership on the product\n\n, \nBe a superb a communicator: You can educate, inform, and influence with a wide spectrum of internal stakeholders as well as clients, to ensure products are on track to delivery and relevant to market and client needs.\nHave good Product Management skills: You will be responsible for the end-to-end product cycle: from the ideation to execution and optimisation of the product. You will be developing the long-term product vision to ensure that the product is able to serve business needs, prioritising the end user experience for customers and also abide by the regulatory requirements.\nBe able to make data-driven decisions: You will need to utilise the information collected to understand the customers' needs and behaviours and create a product that is value adding.\nLeadership skills: You will be the link between the technical and business team and ensure that the product is delivered seamlessly. You will also need to influence and communicate effectively with stakeholders to get buy-ins on the product vision.\nStart-up/Entrepreneurial mind: Our client is a start-up in its early stages and is looking for someone who is excited by being a part of a team which will be able to drive the future of the product. You can, and love, to roll up your sleeves to get the job done.\n, \nBachelors' and above degree in any relevant discipline\n10 or more years' of experience in the product management in a FinTech or consumer facing technology platforms\n3 or more years' of experience in managing people\nAbility to manage internal stakeholders across seniorities and functions\n""]"
5,[b'MCF-2020-0072361'],[b'Full Time'],[b'Product Manager - Payments'],[b'MICHAEL PAGE INTERNATIONAL PTE LTD'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$10,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$12,000</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Professional'],[b'Information Technology'],"[""\nJoin a Hypergrowth FinTech\n\nOwn end-to-end product strategy with full ownership on the product\n\n, \nBe a superb a communicator: You can educate, inform, and influence with a wide spectrum of internal stakeholders as well as clients, to ensure products are on track to delivery and relevant to market and client needs\nNeed good Product Management skills: You will be responsible for the end-to-end product cycle: from the ideation to execution and optimisation of the product. You will be developing the product strategy and roadmap\nBe able to make data-driven decisions: You will need to utilise the information collected and iterate the product accordingly through identifying core issues\nStart-up/Entrepreneurial mind: Even with superb backing, our client remains steadfast in keeping a fast moving, fast acting, autonomous spirit. You can, and love, to roll up your sleeves to get the job done\n, \nBachelors' and above degree in any relevant discipline\n5 or more years' of experience in the product management\nPrevious experience in end-to-end product management of payment products within the SEA region is preferred\nAbility to manage internal stakeholders across seniorities and functions\nAnalytical and hands-on approach with both business and technical teams\n""]"
6,[b'MCF-2020-0072247'],"[b'Permanent, Full Time']",[b'Digital Banking '],[b'HL BANK'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$5,500</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Senior Executive'],"[b'Banking and Finance, Consulting, Design, Information Technology, Telecommunications']","['\nSupport digital transformation agenda by working with internal teams and Information Technology to execute projects from the designing user requirements, reviewing functional specifications.\nDevelop new products and services that drive digital customer acquisition, transactional capabilities and engage customers digitally so that the bank deliver on its business growth plans\nManage key projects / digital initiatives and deliver positive outcome in line with business deadlines\nCollaborate with internal partners (Personal Financial Services, Contact Centre, Operations, Tech, Legal & Compliance) to develop new initiatives in accordance to Business needs\nWork astutely with external partners (FinTech startups for example) so as to enhance online banking capabilities to build future revenue streams / business lines and innovation culture\nTrack and manage online banking production issues, work with Technology to expedite solution.\nBe the subject matter expert on digital platforms and conduct training to frontline staff\nGood understanding of digital landscape, banking products and processes.\n, \nManage the digital transformational within timeline and budget\nDrive business outcomes that help the business achieve targeted revenue and profit goals.\n']"
7,[b'MCF-2020-0072116'],"[b'Permanent, Full Time']","[b'Senior  /  Manager, Business Analyst Lead']",[b'NTUC INCOME INSURANCE CO-OPERATIVE LTD'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$9,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$16,000</span></div>']",[b'Monthly'],[b'10 years  exp'],[b'Manager'],"[b'Consulting, Information Technology']","['\nImplement initiatives leading to superior customer experiences and zero-touch operations\nMap the end-to-end customer journey with supporting operations processes that is right for the customer and align to business priorities\nDigitalise traditional paper-driven processes to support the drive of paperless and environmental sustainability\nOwn, drive, and report KPIs related to BA CoE\nReview and provide insights on key metrics that drive business outcomes\n, \nProvide management communication on strategic initiatives and operational updates\nSecure funding for project implementation by building business case with clear cost and benefit illustration\nPrioritise systems enhancements and systems support for resource optimisation\nSpearhead initiatives leverage on advance digital technology and develop the team of Business Analysts to stay ahead of the curve\n, \nDegree holder in Business, Banking or Finance, Information Technology\nAt least 10 years’ experience in relevant domain and leading a team of business analysts\nAble to think strategically, and design operating models which incorporate processes, design and solutions for delivery assurance and governance implementation\nSolid project management and facilitation skills. Able to manage multiple projects\nStrong communication and writing skills, managing key stakeholders and project sponsors\nSuccessful track record of delivering projects, and transformational related projects will be necessary\nStrong in software quality control and practical experience in automated software testing\nGood understanding of insurance business and a diversity of FinTech solutions\nDesign-thinking, PMP,CITMP, or PRINCE 2 certification is a plus\n']"
8,[b'MCF-2020-0072107'],"[b'Permanent, Full Time']",[b'Business Development Manager'],[b'ADERA GLOBAL PTE. LTD.'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$5,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$7,000</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Manager'],[b'Sales / Retail'],['']
9,[b'MCF-2020-0072040'],[b'Full Time'],"[b'Business Analyst, Brokerage Operations ']",[b'WOODPECKER ASIA TECH PTE. LTD.'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$2,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$4,500</span></div>']",[b'Monthly'],[b'3 years  exp'],[b'Executive'],"[b'Banking and Finance, Others']","['\nYou’ll have lead the shape of the brokerage operations, within regulatory confines of course.\nYou’ll be accountable for the success of the full spectrum of brokerage operations.\nThis is digital insurance brokerage, so a key part of your job will be to shape and update the operations infrastructure together with stakeholders.\nYou’ll maintain existing relationships and deepen engagement with existing partners.\nYou’ll ensure local regulatory compliance in line with regional compliance leadership.\nYou’ll be instrumental in developing and maintaining the process efficiency between the brokerage business and the Marketplace platform.\nYou’ll have opportunity to work on offline business development in addition to Marketplace partnerships.\nYou’ll be required to be hands-on where necessary in day to day operations, while building the team capability. This may include some manual tasks.\nYou’ll complete ad-hoc projects and tasks as required.\n, \nYou have earned a Bachelor’s Degree in finance, business management, engineering or a data analytics related field of study.\nYou can communicate effectively and are familiar with the operational and regulatory requirements of an insurance brokerage business.\nYou bring in 1-3 years related experience in one or more of the following areas: general insurance, life insurance, web technology, insurance brokerage operations.\nYou have extensive knowledge of the local insurance business environment.\nYou bring in awesome online/digital experience and ability to project manage.\nYou have excellent project management skills.\nProfessional qualifications are a bonus - BCP, PGI, ComGI, otherwise required to pass within 3 months of joining.\n']"
