,Job_Id,Emp_Type,Job_Title,Company,Date_Posted,Salary_Range,Salary_Type,Year_Experience,Seniority,Category,Requirements
0,[b'MCF-2020-0038559'],[b'Permanent'],"[b'Senior Executive  /  Executive, Industry Clusters']",[b'Singapore Chinese Chamber of Commerce &amp; Industry'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$2,800</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$3,500</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Senior Executive'],[b'Marketing / Public Relations'],"['\nWork with trade associations to execute industry development and transformation plans in the areas of productivity improvement, internationalisation, digitalisation, workforce training and capabilities development, including involving partnership with the relevant government agencies.\nOrganise and execute initiatives, activities and programmes to drive vibrancy at the Trade Association Hub at Jurong Town Hall.\nEngage and liaise with relevant stakeholders (including government agencies) to help trade associations to address industry challenges and issues.\n, \nGood degree in any discipline\nPassionate about the development of local trade associations and local industries\nPast experience in managing government grant support or application an advantage\nPrior experience in formulating strategy papers relating to industry development involving trade associations an advantage\nExcellent verbal and written communication skills in English and Chinese (to engage both English and Chinese speaking stakeholders)\nStrong analytical and interpersonal skills\nComfortable in building networks with industry leaders and government officials\nA team player, meticulous and resourceful\nCandidate with relevant working experience will be place as Senior Executive/Assistant Manager\n']"
1,[b'MCF-2020-0072608'],"[b'Permanent, Full Time']",[b'Senior EHS Officer [East  /  North  /  HSE  /  Construction Industry Exp] EHMJ'],[b'THE SUPREME HR ADVISORY PTE. LTD.'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$6,000</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Senior Executive'],"[b'Building and Construction, Environment / Health']","[""\nLead EHS department.\nDevelop, review, revise, maintain and implement EHS Management System.\nEnsure legal compliance as per statutory requirements.\nConduct regular EHS inspections and audits.\nManage contractor from the EHS perspective.\nTo investigate all incidents on the work site and implement correction actions.\nReview and revise all risk assessments to ensure compliance.\nAble to drive EHS culture in the company\nConduct routine checks on general safety practices and propose corrective actions and measures to be taken.\nEnsure adequacy, effectiveness and readiness of fire protection system and Emergency Response Team management system for Office and Factory.\nEnsure inspection and review of all project sites activities and operation (includes Main office and 15 Changi Factory) and alert relevant Section Head of any machinery, equipment, appliance, activity or process used in each department that exposes any person to the risk of bodily injury, and to recommend appropriate corrective measures.\nPromote safe and healthy working conditions through education, awareness campaigns, training courses, drills, competitions, contests and other activities.\nLiaise with statutory bodies on EHSS-related licenses and permits and keep updated on the latest change in regulations and Acts and be conversant with all waste management regulations, procedures and licensing requirements.\nConduct fire and safety training to employees.\nConstant update to management of EHSS performance and the continual improvement plan.\nLiaise with 3rd party security service provider and ensure the appropriateness and effectiveness of services rendered to organisation.\nConstant plan-do-check-act on the related EHSS matter of plant's Environmental, Health and Safety Management System and ensure continual improvement/upgrading of the system.\n, \nDiploma in Workplace, Safety and Health with 8 years relevant working experience in Construction Engineering Industry.\nDegree in Workplace, Safety and Health with 5 years relevant working experience in Construction Engineering Industry.\nStrong technical competency, good interpersonal and communication skills.\nAbility to work independently and target oriented in a stressful environment.\nAbility to interact effectively with colleagues in other business units.\n""]"
2,[b'MCF-2020-0040683'],[b'Permanent'],"[b'Director, Industy Clusters']",[b'Singapore Chinese Chamber of Commerce &amp; Industry'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$6,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$8,000</span></div>']",[b'Monthly'],[b'8 years  exp'],[b'Middle Management'],[b'Marketing / Public Relations'],"['\nLead SCCCI’s effort to collaborate with trade associations to initiate and execute industry development and transformation plans in the areas of productivity improvement, internationalisation, digitalisation, workforce training and capabilities development, including involving partnership with the relevant government agencies.\nOversee the promotion of the Trade Association Hub at Jurong Town Hall as the destination of choice for trade associations as a workplace with shared facilities, and for their industry initiatives and activities.\nDrive industry initiatives through the SCCCI-led Trade Association Committee to facilitate industry development and upgrading.\nGuide and assist trade associations to engage the relevant government agencies to address industry challenges and issues.\n, \nGood degree in any discipline, with at least 8 years of relevant working experience\nPassionate in driving the development and growth of trade associations in Singapore\nMust possess strong strategic thinking, communication and hands-on execution skills\nPrior experience and connection with industry leaders and government officials will have a strong advantage\nEffectively bilingual in English and Chinese (to competently engage Chinese-speaking stakeholder\n']"
3,[b'MCF-2020-0072709'],[b'Full Time'],[b'Sales Promoters'],[b'SINGAPORE RADIO &amp; INDUSTRY PTE LTD'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$1,400</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$2,200</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Non-executive'],[b'Sales / Retail'],['']
4,[b'MCF-2020-0060790'],"[b'Contract, Permanent']",[b'Senior Executive /  Executive (Shared Secretariat Services) - Contract'],[b'Singapore Chinese Chamber of Commerce &amp; Industry'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$2,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$3,500</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Executive'],[b'Customer Service'],"['\nTo provide membership, secretarial, general administration, basic accounting and front-office services to subscribed members\nTo support the provision of event management services as and when required\nTo undertake any other duties and responsibilities as and when assigned by the management\n, \nA Degree or Diploma in any discipline\nMinimum 2 years of relevant working experience administratively and / or in customer service roles\nStrong in interpersonal skills\nGood written and verbal communication skills in English & Chinese (in order to liaise with both English-speaking and Mandarin-speaking associates)\n']"
5,[b'MCF-2020-0059117'],[b'Contract'],"[b'Assistant Manager  /  Manager, Heritage Gallery Project (2-Year Contract)']",[b'Singapore Chinese Chamber of Commerce &amp; Industry'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$5,000</span></div>']",[b'Monthly'],[b'3 years  exp'],[b'Manager'],"[b'Architecture / Interior Design, Building and Construction, Design, Engineering']","['\nProject Management in Design and Build jobs for Heritage Gallery, large scale and/or temporary outreach exhibitions.\nDesign and Fabrication Execution for Heritage Gallery, Exhibitions / Indoor and Outdoor Exhibitions and Commissions, Maintenance, and to ensure smooth operation from start to end.\nPlan work scheduling and manage exhibition/special project set-up. Work closely with Project Exhibition coordinator and Curator in final delivery of project.\nManage allocated fabrication budget and handles all necessary procurement of goods, including preparation of Tender documents, Bill of Quantities and Purchase Requisition.\nSourcing of relevant materials and service providers for commissioned multimedia projects.\nReview of project drawings, technical specifications and floor plans for the purposes on all exhibition design and fabrication work submitted.\nManage feasibility studies, preliminary layout and simulation for the space required.\nSite management, co-ordination and oversee the execution of the Fabricators.\nLiaise and coordinate with contractors on project requirements. Conduct workmanship checks on quality of fabrication and build to ensure it is in accordance with specification and standards.\nResponsible for supervising maintenance and repair of exhibition builds and related matters with contractors.\nManage independent operational matters including exhibition store inventory and asset management.\n, \nDiploma/Degree with specialisation in one of the following areas: Engineering, Architecture\nMinimum 3 years working experience in the relevant field.\nGood proficiency in Microsoft Office (Excel, Outlook, Word and PowerPoint) for daily work.\nProficiency in AutoCAD and able to draft/edit CAD drawings.\nGood knowledge in cost and quality control, resources planning and on-site operations.\nAble to perform analysis and advise on appropriate building material for fabrication.\nApplication knowledge in design and build, including major structural installations and BCA/SCDF requirements.\nFamiliarity with workplace safety for construction, including Work at Heights.\nStrong written and verbal communication skills, with ability to provide clear communication and present ideas effectively to staff, management and exhibition partners.\nBilingual in English and Mandarin is essential.\nCollaborative, flexible and able to adapt work approaches to the situation.\nPrior exhibitions related experience / or planning or infrastructure projects will be an added advantage. Experience with installation multisensory or multimedia project is ideal.\n']"
6,[b'MCF-2020-0046899'],[b'Full Time'],[b'Certification Officer'],[b'Singapore Chinese Chamber of Commerce &amp; Industry'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$2,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$2,400</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Fresh/entry level'],"[b'Admin / Secretarial, Customer Service']","['\nTo be able to determine origin, closely check and issue certificates under the ordinary CO criteria according to the Rules and Regulations and give advice to applicants.\nConstantly check for applications for export documents received electronically and manually.\nContact applicants by telephone calls to ensure all discrepancies on documents are resolved to ensure a same day turnaround and in time to meet the deadline.\nData input for details of documentation is issued according to deadlines.\nCheck, assemble, process and batch-up documents with 100% accuracy to meet courier deadlines.\nCollect cash from traders and issue receipts to traders.\nPrepare daily balancing of accounts and submit to Accounts Department.\nSubmit weekly returns.\nAssist on any ad-hoc tasks as required by the department.\n, \nRelevant administration or clerical working experiences.\nGood knowledge of MS Office.\nStrong attention to details, well organised and has the ability to multi-task.\nPleasant personality and possess positive working attitude.\n']"
7,[b'MCF-2020-0045175'],[b'Permanent'],[b'Executive (Business Chinese Test Centre)'],[b'Singapore Chinese Chamber of Commerce &amp; Industry'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$1,800</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$3,000</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Junior Executive'],[b'Customer Service'],"['\nPlan and manage the operations and administration of test schedules.\nWork closely with counterparts to schedule and administer the test.\nAssist in setting up and clearance of test venue.\nManage student matters such as processing test registration and fee collection.\nDevelop marketing approaches to create awareness and recruitment of test.\nAttend to all post test related activities to maintain prompt and compliant administration.\nHandle SSG training grants application and submission promptly.\nProvide support on data and statistical reporting required by management and funding agencies.\nMaintain proper filing system - general correspondence and documents.\nTo assist in any other administrative duties as assigned by the Management from time to time.\n, \nAt least Diploma in any discipline with at least 2 year experience in facilitating academic test.\nFamiliar with SSG funding requirements is preferred.\nIT savvy, able to prepare and trouble shoot during the computer-based tests.\nProficiency in Microsoft Office applications.\nMeticulous, efficient and resourceful with a ""can-do"" attitude.\nAdherence to the standards of practice and code of ethics required\nFluent in both written and spoken English and Mandarin (Good communication in Mandarin to work closely with Chinese speaking counterparts to schedule and administer the test.)\nAbility to work on weeknights and Saturday mornings occasionally.\n']"
8,[b'MCF-2020-0038578'],[b'Contract'],[b'Assistant Executive (Contract for 6 months)'],[b'Singapore Chinese Chamber of Commerce &amp; Industry'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$2,200</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$3,100</span></div>']",[b'Monthly'],[b'1 year  exp'],[b'Non-executive'],[b'Events / Promotions'],"['\nCultural, Social, Education and Community-related projects;\nEvents and seminars;\nFocusing on invitation management (invite, RSVP, confirmation, etc);\nand event publicity\n, \nPolytechnic diploma holder; Entry level candidates are welcome to apply\nGood communication and interpersonal skills\nMeticulous and organised person\nProficiency in MS Office Applications\n']"
9,[b'MCF-2020-0038572'],[b'Permanent'],[b'Web Administrator '],[b'Singapore Chinese Chamber of Commerce &amp; Industry'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$3,500</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Executive'],[b'Information Technology'],"[""\nManage and maintain SCCCI's website\nProvide technical support for the website\nResponsible for website's vulnerability and security\nWork with SCCCI internal stakeholders to enhance website features\nMonitor, analyse and improve website's overall & SEO performance\n, \nHave relevant work experience in website development and website maintenance\nProficient in programming languages like HTML, CSS, JavaScript, PHP and API\nA full-stack web developer who is able to:\nProgram a browser (like using JavaScript, jQuery, Angular, or Vue, Graphic Design / UI design)\nProgram a server (like using PHP Framework – Yii Framework, ASP, or Node, & Security issues)\nProgram a database (like using Postgresql, or MongoDB)\n""]"
