,Job_Id,Emp_Type,Job_Title,Company,Date_Posted,Salary_Range,Salary_Type,Year_Experience,Seniority,Category,Requirements
0,[b'MCF-2020-0050526'],"[b'Permanent, Full Time']",[b'Industry 4.0 Technical Subject Matter Expert (Training &amp; Development)'],[b'GMP TECHNOLOGIES (S) PTE LTD'],[b'Posted 28 Feb 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$5,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$6,000</span></div>']",[b'Monthly'],[b'4 years  exp'],[b'Professional'],"[b'Education and Training, Engineering, Manufacturing, Repair and Maintenance']","['\nMapping out detailed curriculum matrix for IT-related courses\nIdentify areas of enhancement for training courses towards Industry 4.0\nPrepare course material & training equipment and troubleshoot faulty parts accordingly\nImplement course upgrade activities in terms of training content, exercise and technical works\nConduct training courses and assist in course promotion activities\nUpkeep and maintain training equipment\n, \nDegree in Computer Science, IT, Electronics, Electrical or Mechatronics\nAt least 4 years of industrial working experience in Automation\nWSQ Advanced Certificate in Training and Assessment (ACTA) certification\nExperience in preparing training materials\nWillingness to travel whenever needed\nSingaporeans ONLY\n']"
1,[b'MCF-2020-0049837'],"[b'Permanent, Full Time']",[b'Manager Industry Digital Plan'],[b'RMA CONSULTANTS PTE LTD'],[b'Posted 28 Feb 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$7,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$9,000</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Manager'],[b'Information Technology'],['']
2,[b'JOB-2020-0000579'],[b'Contract'],[b'Senior Officer - Industry-Based Training (Engineering &amp; Information Technology)'],[b'Institute of Technical Education'],[b'Posted 28 Feb 2020'],"[b'<span class=""f5-5 i fw4 gray"">Salary undisclosed</span>']",[b''],[],[b''],"[b'Engineering, Public / Civil Service']",['']
3,[b'JOB-2020-0000596'],[b'Permanent'],"[b'Manager, Corporate and Industry Partnerships']",[b'Health Promotion Board'],[b'Posted 28 Feb 2020'],"[b'<span class=""f5-5 i fw4 gray"">Salary undisclosed</span>']",[b''],[],[b''],"[b'Healthcare / Pharmaceutical, Public / Civil Service']",['']
4,[b'MCF-2020-0050281'],"[b'Permanent, Full Time']",[b'QA Assistant (Food Industry / Woodland / 5 days)'],[b'TEMPSERV PTE. LTD.'],[b'Posted 28 Feb 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$1,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$2,000</span></div>']",[b'Monthly'],[b'1 year  exp'],[b'Junior Executive'],"[b'Engineering, F&amp;B, Manufacturing, Sciences / Laboratory / R&amp;D, Others']","['\nPrepare and maintain relevant food safety records.\nPerform routine sampling and check quality of incoming raw materials and end products.\nAssist in internal, external and regulatory audits.\n, \nHigher NITEC in Food Science or any relevant experiences in food Manufacturing Industry.\nMust have good sensory acumen (Training provided)\nPossess positive working attitude and some supervisor skills\n']"
5,[b'MCF-2020-0050453'],"[b'Permanent, Full Time']",[b'Production Assistant (food industry)'],[b'INSPIRE RECRUITMENT CONSULTING PTE. LTD.'],[b'Posted 28 Feb 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$1,600</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$1,800</span></div>']",[b'Monthly'],[b'1 year  exp'],[b'Non-executive'],[b'Manufacturing'],['']
6,[b'MCF-2020-0049952'],[b'Full Time'],[b'CORPORATE DEVELOPMENT MANAGER (WHOLESALE INDUSTRY)'],[b'EXCELLENCE SINGAPORE RECRUITMENT PTE. LTD.'],[b'Posted 28 Feb 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$5,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$7,500</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Middle Management'],"[b'General Management, Marketing / Public Relations, Purchasing / Merchandising, Sales / Retail']",['']
7,[b'MCF-2020-0050090'],[b'Full Time'],[b'Senior Executive'],[b'THE SINGAPORE MALAY CHAMBER OF COMMERCE AND INDUSTRY'],[b'Posted 28 Feb 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$2,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$3,000</span></div>']",[b'Monthly'],[b'1 year  exp'],[b'Senior Executive'],"[b'Advertising / Media, Marketing / Public Relations']",['\nAssist in other matters related to the fulfillment of the Marcomms work plan\nProvide copywriting support to ED for matters concerning BOD or other stakeholder-related issues\n']
8,[b'JOB-2020-0000537'],[b'Contract'],[b'Lecturer - Mechanical Engineering'],[b'Institute of Technical Education'],[b'Posted 28 Feb 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$6,000</span></div>']",[b'Monthly'],[b'3 years  exp'],[b''],"[b'Engineering, Public / Civil Service']","[' Familiarity with 3D software such as Solidworks, Autodesk’s Inventor or equivalent. Ability to work with colleagues-students, convey knowledge in-a-form students can understand, and be able to adapt teaching techniques to student needs-various instructional setting. ']"
9,[b'JOB-2020-0000546'],[b'Contract'],[b'Lecturer - Precision Engineering'],[b'Institute of Technical Education'],[b'Posted 28 Feb 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$6,000</span></div>']",[b'Monthly'],[b'3 years  exp'],[b''],"[b'Information Technology, Public / Civil Service']",['']
