,Job_Id,Emp_Type,Job_Title,Company,Date_Posted,Salary_Range,Salary_Type,Year_Experience,Seniority,Category,Requirements
0,[b'MCF-2020-0072624'],[b'Full Time'],"[b'Microbiologist, Quality COntrol']",[b'MSD INTERNATIONAL GMBH (SINGAPORE BRANCH)'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$5,000</span></div>']",[b'Monthly'],[],[b'Fresh/entry level'],[b'Healthcare / Pharmaceutical'],"['\nSupport testing/ monitoring functions pertaining to aseptic manufacturing and microbiological testing of Raw materials, Excipient, In-process materials, semi finished and finished products manufactured in the API, DPI, Biotech, Tablets and R&D facilities.\nResponsible for testing of developmental and clinical products as required.\nParticipate in analytical developmental activities as required.\n, \nPerform routine/non-routine quality monitoring, sampling and testing of Utility systems inclusive of Purified water, Water for Injection, Pure steam. Compressed air and Nitrogen systems.\nPerform the routine/non-routine environmental monitoring for all required plants, facilities, clean rooms, hygienic areas and labs, inclusive of particle monitoring test.\nPerform personnel qualification and re-qualification and also to lead qualification and re-qualification of the clean rooms, when necessary.\nProvide testing support to plant validation activities\nPerform in-process and release samples testing of excipient/ packaging components for the different drug products, semi finished drug product and drug substances. i.e., Sterility test, Bacterial endotoxin test, Bioburden test, Microbial Limits Test, etc., as appropriate.\nPerform routine and Batch related Environmental monitoring in clean rooms and other production areas and laboratory.\nPerform Media Receival, Sterility check and Growth Promotion Tests for media used for testing.\nPerform initial Quality Control check and regular QC checks on ready-to-use cultures and maintenance of cell cultures.\nPerform microbial identification (Bacteria, mold and yeast) in water, environment and product samples.\nPerform periodic review of closed out Validation Document packages and Standard Operating Procedures.\nExtend documentation support to the department by participating in writing/revising of SOPs, protocols, Test reports and any other work assigned by the Senior, Lead Microbiologist, Sr/ Manager, Microbiology.\nSupport investigations\nPrepare/Support Trend Reports\nLiaise with external vendors on instrument calibration and maintenance.\nSolicit quotations of laboratory consumables.\nMaintain continuous supply of laboratory consumables\nParticipate in SHE, Business Compliance, cGMP and all other compliance-related matters, where applicable.\nSupervise and oversee Third Party Contractors, where applicable.\nNeed to co-ordinate with Quality, respective Plant Operations, Projects and Engineering & Maintenance.\nLiaise with other department for training needs and technical support\nLiaise with vendor and service engineers/ESPs for equipment validation, calibration and maintenance work.\nNeed to coordinate with suppliers of microbiological media and other equipment.\nAny other duties as assigned by the Supervisor / Manager.\n, \nDegree in Microbiology / Biotechnology.\n0 to 3 years’ relevant experience . No working experience can also be considered.\nGood understanding of Safety and cGMP practices\nExperience in operating laboratory equipment and lab computer systems is very desirable.\nAnalytical development mindset in research and commercialization activities\n']"
1,[b'MCF-2020-0071944'],[b'Permanent'],[b'Software Engineer (IOT / Robotic)'],[b'MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$9,000</span></div>']",[b'Monthly'],[b'1 year  exp'],[b'Senior Executive'],[b'Information Technology'],"['\nDesign, develop, test and deploy robotics and IoT application, with the functions of the data access of multiple smart sensors and the communications between mobile robots.\nAnalysis, system design, development, testing for Enterprise Applications\nDevelop user-facing features and web portals\nAssist in test-driven development, DevOps and bug fixing\nProvide technical support during maintenance phase of the system and pre-sales support in preparing solution proposals and product demonstrations\n, \nDegree with min 3 years relevant experience\nStrong competencies in algorithms, data structures, objects oriented programming, design patterns, multi-threaded programming, and software design principles\nExperience in developing real-time and distributed systems\nExperience with programming for the Web (HTTP, REST, XMLRPC, etc)\nExperience in test-driven development, continuous deployment, and thoughtful application of monitoring and alerting.\nProficient understanding of web markup, including HTML5, CSS3, client-side scripting and JavaScript frameworks, including jQuery and code versioning tools, such as GIT\nExperience optimizing for speed and scalability, ensure technical feasibility of UI/UX designs\nExperience in developing highly robust, safety-centered applications in the fields such as automotive, medical, military, aerospace etc\nExperience on any one RDBMS/No SQL databases\nStrong on front-end and back-end IT software design and architecturing\nProven distributed systems development track record\nStrong programming abilities in C++/Python/JavaScript/Node/React, etc\nDevelopment and deployment of applications in Linux (Ubuntu/Redhat, etc)\nKnowledge of Robot Operating System (ROS) and FastRTPS is preferred\nKnowledge of IOT and its standard/protocol\n']"
2,[b'MCF-2020-0072344'],"[b'Permanent, Full Time']",[b'Industrial Automation Engineer (Siemens PLC /  IIoT Support)'],[b'PERFORMANCE MASTERBATCHES SINGAPORE PTE. LTD.'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$6,000</span></div>']",[b'Monthly'],[b'3 years  exp'],[b'Executive'],[b'Engineering'],"['\nSupport and assist digital transformation project team to successfully transform / integrate the site and achieve project milestones.\nBe the expert in IoT sensors, controllers and networks to ensure all real-time data from physical equipment can be captured and available\nLead in the upgrading of legacy machines to the most suitable and up-to-date control systems\nBe responsible for all site IoT devices and systems\nBe the lead technical troubleshooting expert for site operations related to the digital transformation efforts\nInnovate and interact with internal and external stakeholders (e.g. product developers, vendors, Data Analysts, Engineers, etc.) to ensure end-to-end solutions are functional and user-friendly\nBe able to seek insight from machine data to identify improvement opportunities\n, \nDegree in Engineering or equivalent disciplines\nHave 3-5 years relevant experience in industrial automation, Siemens PLC\nExperience in SQL / Python\nGood overview and interested in Internet of Things, Gadgets and Technology in general\nPLC Languages, i.e. Siemens TIA portal exposure\nwireless technologies, switches, routers\nnetwork/cloud services/ cyber security\nAbility to work in cross cultural environment\nLocation: Singapore, 8 Third Chin Bee Road\n']"
3,[b'MCF-2020-0071719'],"[b'Permanent, Full Time']",[b'Software Engineer (IT System)'],[b'HOPE TECHNIK PTE. LTD.'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$6,000</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Executive'],[b'Information Technology'],"['\nDesign, develop, test and deploy robotics and IoT application, with the functions of the data access of multiple smart sensors and the communications between mobile robots.\nPerform requirements analysis, system design, development, testing for Enterprise Applications\nDevelop user-facing features and web portals\nAssist in test-driven development, DevOps and bug fixing\nProvide technical support during maintenance phase of the system and pre-sales support in preparing solution proposals and product demonstrations\n, \nBachelor or higher in Computer Science/Engineering or relevant\nMinimum 3 years relevant experience\nA solid foundation in computer science, with strong competencies in algorithms, data structures, objects oriented programming, design patterns, multi-threaded programming, and software design principles\nExperience in developing real-time and distributed systems\nExperience with programming for the Web (HTTP, REST, XMLRPC, etc)\nExperience in test-driven development, continuous deployment, and thoughtful application of monitoring and alerting.\nProficient understanding of web markup, including HTML5, CSS3, client-side scripting and JavaScript frameworks, including jQuery and code versioning tools, such as GIT\nBackground in networking and real-time communication\nExperience optimizing for speed and scalability, ensure technical feasibility of UI/UX designs\nExperience in developing highly robust, safety-centered applications in the fields such as automotive, medical, military, aerospace etc\nExperience on any one RDBMS/No SQL databases\nExperience on CyberSecurity\nStrong on front-end and back-end IT software design and architecturing\nProven distributed systems development track record\nStrong programming abilities in C++/Python/JavaScript/Node/React, etc\nDevelopment and deployment of applications in Linux (Ubuntu/Redhat, etc)\nKnowledge of Robot Operating System (ROS) and FastRTPS is preferred\nKnowledge of IOT and its standard/protocol\n']"
4,[b'MCF-2020-0071822'],"[b'Permanent, Full Time']",[b'Senior Information Technology Security Expert - Senior DevSecOps Engineer'],[b'PALO IT SINGAPORE PTE. LTD.'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$7,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$15,000</span></div>']",[b'Monthly'],[b'3 years  exp'],[b'Senior Executive'],"[b'Consulting, Information Technology']","[""\nWe care about our World\nWe act with Courage\nWe Share, it’s in our DNA\nWe choose Positivity\nWe Deliver Awesomeness\n, \nThrive on challenge. When was the last time you failed?\nAre curious & always learning. What are you up to right now?\nCan deal with constant change. When were you last surprised?\nHave mastered at least one skill of your trade but you’re not defined by it. What can you teach us? Can you wear many hats?\n, \nAutomate security in a DevOps pipeline (DevSecOps).\nDevelop solutions, install/configure/integrate IT tools and security processes within an application or organization to help improve the overall IT security posture.\nSet up Static and Dynamic Code Analysis tools, review the results and explain any gaps and potential impact on the team.\nPenetration testing and container security.\nEvaluate and analyze the threat, vulnerability, impact, and risk to security issues discovered from security assessments.\nOn-premise and public cloud infrastructure security.\nDetect and react to cyber-attack on the public system.\nWrite and advise on reusable, testable, efficient and secure code with the development team.\nWork in all phases of a rapid product development lifecycle.\nDocument, and share knowledge on developed DevSecOps solutions.\nDevelop and implement processes to handle releases from Development to Operations while respecting internal rules, and offering solutions for rollback.\n, \nYou hold a Bachelor's, Master's or Ph.D. degree in IT, Information Management and/or Computer Science.\nYou have at least 3 years of experience in Application Security role.\nYou have attained relevant security certifications.\nYou are interested in designing scalable, reliable and secure software using a variety of different languages, frameworks, libraries and technical environments.\nYou have exposure to IoT Security, knowledge of cryptography/encryption and a good understanding of networking.\nYou are familiar with Agile Methodologies, Scrum, Kanban, and interested in learning more about Design Thinking, Lean Start-up, TDD, BDD, or XP.\nYou are communicative with a good sense of idealism and pragmatism.\nYou are passionate about technology and continuous learning comes naturally to you.\nYou have excellent interpersonal, oral/written communication and cross-group collaboration skills.\nYou are an independent thinker with a strong work ethic but also willing and able to conform to established architectural constraints.\n""]"
5,[b'MCF-2020-0071720'],"[b'Permanent, Full Time']",[b'Software Engineer (Middleware)'],[b'HOPE TECHNIK PTE. LTD.'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$6,500</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Executive'],[b'Information Technology'],"['\nDesign, develop and test the data access of multiple smart sensors and the communications between mobile robots\xa0Derive proper integration of DDS concepts into a robotics framework and implement those\nAssist in test-driven development, DevOps and bug fixing\xa0Test proper performance and functionality of DDS implementations\n, \nBachelor or higher in Computer Science/Engineering or relevant\nA solid foundation in computer science, with strong competencies in algorithms, data structures, objects oriented programming, design patterns, multi-threaded programming, and software design principles\n\nStrong programming abilities in C++/Python\n\nDevelopment and deployment of applications in Linux (Ubuntu/Redhat, etc)\n\nKnowledge of IOT and its standard/protocol including OPC-UA\n\nMinimum 3 years relevant experience\n\nPrior experience in DDS preferably in a robotics environment\n\nExperience in building interactive software systems and embedded systems\n\nExperience in test-driven development, continuous deployment, and thoughtful application of monitoring and alerting.\n\nExperience with version control, Git preferred.\n\n']"
6,[b'MCF-2020-0072360'],"[b'Contract, Full Time']",[b'Senior Research Engineer (Computer Science)'],[b'NANYANG TECHNOLOGICAL UNIVERSITY'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$5,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$8,250</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Manager'],[b'Information Technology'],"['\nData mining from massive data from documents to gain insights and identify patterns\nDesign and implement artificial intelligence (AI) and machine learning (ML) engines through in-depth research and experiments\nApplication of AI and ML in knowledge and information retrieval (IR), relevancy ranking with spatiotemporal consideration\nConduct “translational” research to apply the state-of-the-art solutions at scale for real world challenges\nDocumentation and scientific reporting\nMentoring junior staff\n, \nPhD in computer science\nMinimum 5 years software development experience\nExperience and excellent research background in AI, ML, data science and related areas\nPassionate about AI-related research, innovations and their applications\nProficient in one or more programming languages (e.g., Python, C/C++, etc.) and research packages/modules\nExperience in large-scale text processing and analytics\nGood track records in publication\n']"
7,[b'MCF-2020-0072327'],[b'Contract'],[b'Quality System Specialist (6 months contract)'],[b'BIO-RAD LABORATORIES (SINGAPORE) PTE LTD'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,600</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$5,000</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Junior Executive'],[b'Manufacturing'],"['\nWork on compliance activities associated such as fulfilling FDA QSR/part 11 data integrity, ISO13485, cGMP, etc.\nEvaluate procedural compliance such as review and develop procedures and determine appropriate escalation process as required and take necessary action (s), ensure training records are filed before release.\nConduct investigation and analysis of customer complaints; highlight the trends to manufacturing for improvements.\nCoordinate Change Management includes chair change meeting, update change masterlog and follow up with the change owner for closure, ensure the changes are captured and documented and risks are evaluated, this is not limited to internal changes, also includes the changes initiated from suppliers or triggered by customers, Maintain change record filing.\nDrive CAPA meeting, work with cross-functional team for solution implementation and effectiveness of the solution, maintain proper records of CAPA and conduct monthly data trend.\nPerformance Internal Audit to identify gaps in compliance or nonconformance for the site, ensure audit reports are approved and filed timely, ensure audit findings are closely monitored and closed with objective evidence.\nWork closely with cross-functional team to ensure that QMS processes remain relevant and compliant to applicable internal and external requirements, and provide guidance to the key stakeholders on overall QMS regulations, includes the support of new production transfer and validation activities.\nOther duties may be assigned.\n, \nBachelor’s degree or equivalent in a related life science/technical discipline or equivalent preferred.\nUnderstanding of GMP and quality system standards as they apply to products manufactured by Bio-Rad.\nWorking knowledge of device/drug/biotech manufacturing processes.\nDetail-oriented and ability to multitask.\nProblem solving, decision making, time management, organization, communication, and computer skills.\nTechnical writing and word processing skills.\n5+ years experience in a regulated manufacturing industry or equivalent combination of education and experience.\nFamiliar with Quality Systems, including but not limited to investigations, qualifications, validations, CAPA, and NC is also required.\nExcellent communication skills.\nDemonstrated proficiency in use of engineering tools - FMEA, SPC or equivalent statistical tools, etc.\nKnowledgeable in writing manufacturing procedures to QMS/GMP requirements.\nKnowledge of ISO13485, FDA 21 CFR Part 820, and/ or the Medical Device Directives.\n']"
8,[b'MCF-2020-0072226'],[b'Contract'],"[b""Research Fellow (Dr. Volker Patzel's Lab)""]",[b'NATIONAL UNIVERSITY OF SINGAPORE'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$6,000</span></div>']",[b'Monthly'],[b'1 year  exp'],[b'Professional'],[b'Sciences / Laboratory / R&amp;D'],['']
9,[b'MCF-2020-0072217'],[b'Full Time'],[b'IIoT Engineer'],[b'PUMAS AUTOMATION &amp; ROBOTICS PTE LTD'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$6,000</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Professional'],"[b'Consulting, Engineering, Information Technology']","['\nBuilding and operating IIoT platforms and solutions for our smart factory customers.\nArchitecting, installing and setting up infrastructure (servers, data storage), permissions and control as well as security.\nConsult and advise customers in their operations, by maintaining software updates, scaling the solution and any type of service that keeps the system optimized.\n, \nYou have a strong background and 5+ years’ experience in IT with a keen interest in OT. Exposure to manufacturing and industrial environments a plus.\nAbility to maintain infrastructure, data and system security and integrity.\nExperience keeping systems scalable and performant. \xa0Knowledge to avoid system/network outages and data loss.\nBroad knowledge in networking. Setup and management (Subnets, VLANs, TCP/IP, Security and Firewalls).\nBonus if you have experience with ERP systems such as SAP or IIoT platforms such as Wonderware Systems or PTC Thingworx.\nExperience with on-premise enterprise infrastructure, Microsoft, as well as exposure to cloud services Azure, Google and AWS.\nGood command in English communication and computer literacy.\n']"
