,Job_Id,Emp_Type,Job_Title,Company,Date_Posted,Salary_Range,Salary_Type,Year_Experience,Seniority,Category,Requirements
0,[b'MCF-2020-0059551'],[b'Full Time'],[b'IoT Vulnerability Researcher'],[b'SECURITY TECHNOLOGIES AND ADVANCED RESEARCH LABS PTE. LTD.'],[b'Posted 10 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,800</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$5,500</span></div>']",[b'Monthly'],[b'1 year  exp'],[b'Junior Executive'],[b'Engineering'],"['\nReverse engineering of circuits\nIdentify debug interfaces and components on boards\nExtract firmware from black box hardware\nBack your findings with Proof-of-concept exploits\nCollect evidence and maintain a detailed write-up of the findings\nExplain and demonstrate vulnerabilities to system owners\nProvide appropriate remediation and mitigations of the identified vulnerabilities\nIndividually or collaboratively review the system designs, source code, configurations, communications for security gaps\nSharpen your saw with continuous research, learning, training on the latest tools and techniques, keeping up with new research and sharing the same with the ecosystem\nCommunicate well using verbal and written skills, within and out of the team\n']"
1,[b'MCF-2020-0059339'],"[b'Permanent, Full Time']","[b'IT Engineer, Manufacturing System']",[b'TALENT SEARCH PTE. LTD.'],[b'Posted 10 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$5,500</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Senior Executive'],"[b'Engineering, Information Technology']","['\nWork with manufacturing on machine to machine integration to enable IoT functionality & customers accessability\nEngage with cross functional team (global and local) and IT infrastructure team to identify IoT / digitalization platform amongst the manufacturing operations from mapping to prototyping to realization\nWork with end users to integrate MES, map out process workflow to enable digitalization goals\nProvide support to Client Windows OS, Office Applications and IT related support\nResponsible for WAN support and cascading IT communication for 3 sites locally\nSeek continuous improvement in area of accountability\n, \nDegree in Information Technology / Computer Studies or equivalent in Engineering qualification\n3 years of working experience as an IT Engineer supporting manufacturing system\nKnowledge in ITIL process and project management\nKnowledge on machine to machine communication protocols such as OPC UA, MQTT\nExperience working on MES system to enable IoT connectivity\nKnowledge of SAP would be a big plus\n']"
2,[b'MCF-2020-0059522'],[b'Full Time'],[b'Sr. Solutions Advisor'],[b'JDA SOFTWARE ASIA PTE. LTD.'],[b'Posted 10 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$12,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$18,000</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Executive'],"[b'Information Technology, Logistics / Supply Chain']",['']
3,[b'MCF-2020-0059583'],[b'Permanent'],[b'Product Manager - (Hardware development  /  prototype building environment)'],[b'CAPITA PTE. LTD.'],[b'Posted 10 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$6,000</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Professional'],"[b'Information Technology, Telecommunications']","[""\nCarry out research on new products/trends/technologies in the industry that can aid or potentially trigger new product ideas.\nWork with other members of the R&D team to come up with POC design and oversee the implementation.\nWork with hardware design and assembly house – primarily from Shenzhen, China – to source, design and develop the required hardware for the products.\nFacilitate the product certification processes (ex: IMDA certification, etc)\nSupport the product manager and business teams by providing relevant analytics and supporting data.\n, \nMaster’s or Bachelor's degree in Computer Engineering, Electrical & Electronics Engineering or other related technical field.\nTotal work experience of 5+ years in a hardware development / prototype building environment.\nExperience in architecting the development of hardware and basic understanding of circuit design\nExperience in prototyping with Raspberry Pi/Arduino is a plus\nKnowledge on different MCU’s and Protocols (USB, CDS, I2C, UART, MODBUS, TCP/IP)\nWorking experience in Linux and Python/BASH scripting experience will be a big plus\n""]"
4,[b'MCF-2020-0059041'],[b'Permanent'],[b'Associate Engagement Manager '],[b'INFOSYS LIMITED SINGAPORE BRANCH'],[b'Posted 10 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$9,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$12,000</span></div>']",[b'Monthly'],[b'12 years  exp'],[b'Professional'],[b'Information Technology'],['']
5,[b'MCF-2020-0058896'],[b'Full Time'],[b'System Administrator'],[b'METROPOLITAN WIRELESS INTERNATIONAL PTE. LTD.'],[b'Posted 10 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$2,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$3,600</span></div>']",[b'Monthly'],[b'3 years  exp'],[b'Senior Executive'],[b'Information Technology'],['']
6,[b'JOB-2019-0223906'],[b'Contract'],[b'Project Engineer - School Of Chemical &amp; Life Sciences'],[b'Nanyang Polytechnic'],[b'Posted 10 Mar 2020'],"[b'<span class=""f5-5 i fw4 gray"">Salary undisclosed</span>']",[b''],[],[b''],"[b'Engineering, Public / Civil Service']","[' Involve in end-to-end system design from ideation to development including prototype testing and product manufacturing\xa0 Liaise with sub-contractors and suppliers from product review, quotation, contract and schedule to supervision of site work Perform CFD analysis to study the behaviour of product and carry out design optimisation Carry out mechanical design work to automate current system by leveraging latest technologies such as machine vision and IOT sensors ,  A tertiary qualification in Mechanical Engineering At least 1 year of relevant experience in related fields Proficient in 3D CAD software Knowledge/experience in parts machining and plastic moulding would be an added advantage Willingness to work flexible hours and over weekends The project is estimated to last for about\xa024 months Fresh graduates are welcome to apply\xa0 ']"
7,[b'MCF-2020-0059718'],[b'Full Time'],[b'Senior Test Engineer (Networking) - Ref: iDirectAsia / QE / 01 (0453)'],[b'ST ELECTRONICS (SATCOM &amp; SENSOR SYSTEMS) PTE. LTD.'],[b'Posted 10 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$7,000</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Senior Executive'],"[b'Engineering, Information Technology, Telecommunications']","['\nDesign, develop, and document comprehensive test plans for iDirect products.\nCoordinate and participate in use case testing activities including test-planning, execution, and reporting\nPerform setup of network and test scenarios, both hardware and software components, and perform troubleshooting as needed.\nCollaborate with software developers in scrum team to execute acceptance tests and write auto test units\nEvaluate and recommend third-party test tools and other software/hardware products to aid in the system test effort.\nAttend and participate in system-level design meetings in order to address testing issues early in the software development process.\nCreate testing tools and scripts as needed\nProvide training, documentation and support as required to operations staff.\nOther duties as assigned.\n, \nDegree of Computer Science, Computer Engineering or electrical engineering\nExperience with IP Networking protocols and standards\nKnowledge of TCP/IP, UDP, sockets, etc. and experience in network performance testing\nExperience with IP router performance test tools such as Spirent, NetIQ Chariot, ixload etc.\nExperience writing Linux shell scripts\nAbility to independently setup, troubleshoot and debug networks\nExperience developing and maintaining comprehensive system test plans\nExperience in writing google unit test, python in robot framework\nCCNA, CCNP, or other advanced Cisco certification is preferred\nBackground in RF/ Satellite communication concepts is a bonus\n']"
8,[b'MCF-2020-0059226'],[b'Permanent'],[b'Medical Science Liaison \xe2\x80\x93 Asia South'],[b'CSL BEHRING PTE. LTD.'],[b'Posted 10 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$6,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$9,000</span></div>']",[b'Monthly'],[],[b'Executive'],[b'Healthcare / Pharmaceutical'],"['\nRole \xa0\xa0that this position reports to: Associate \xa0\xa0Director, Medical Affairs, Asia South\nNo direct reports\n, \nWork collaboratively and proactively with the \xa0\xa0Asia South medical and marketing teams to develop strategic medical, \xa0\xa0scientific and relationship management plans that align with business \xa0\xa0objectives\nMedical input into key cross-functional \xa0\xa0groups (including but not \xa0\xa0limited to): Regulatory; Clinical Safety; Clinical R&D, etc for successful development and life cycle \xa0\xa0management of products.\xa0\n, \nProvide \xa0\xa0a high quality single point of contact for scientific interaction between \xa0\xa0external experts / HCP’s and CSL Behring;\nProvide \xa0\xa0and/or present field observations and insights to internal stakeholder\nInteract \xa0\xa0responsibly and within MA guidelines (and/or \xa0\xa0relevant Country Codes) with targeted health care professionals, professional \xa0\xa0associations and other key stakeholders.\nRespond \xa0\xa0to requests for scientific and medical information in a comprehensive, timely \xa0\xa0and customer focused manner;\nEducate \xa0\xa0and communicate clinical value, outcomes, and economic data to payers, \xa0\xa0providers, key stakeholders, advocacy, and access enablers\nActively \xa0\xa0drive Scientific Advisory Board meetings to ensure knowledge transfer, foster \xa0\xa0External Expert (EE) relationships, ensure scientific understanding to enhance the \xa0\xa0understanding of the disease, therapeutic area and treatment choices;\nActively \xa0\xa0participate in Scientific and Medical symposia. Assist with development of \xa0\xa0CSL Behring sponsored programs;\nFacilitate \xa0\xa0consideration of proposals for collaborative/ investigator initiated studies;\nFacilitate \xa0\xa0site feasibility assessments\nAssist \xa0\xa0with publication planning and presentations of data at medical & \xa0\xa0scientific meetings. Appropriately understand the clinical gaps that would \xa0\xa0facilitate the development of new therapeutic agents/indications;\nBe a \xa0\xa0medical/scientific interface with key stakeholders in dealing with product \xa0\xa0related issues.\n, \nIdentify, \xa0\xa0develop, and maintain collaborative relationships with current and future \xa0\xa0thought leaders\nEnsure \xa0\xa0development plans are initiated and actively managed for identified EEs;\nFacilitate \xa0\xa0speaker development and involvement locally and internationally;\nEnsure \xa0\xa0appropriate EE development through \xa0\xa0participation in clinical trials;\nEnsure \xa0\xa0communications are tracked in appropriate systems to ensure CSL Behring is \xa0\xa0compliant with good governance and transparency regulations.\n, \nDevelop and maintain extensive knowledge of \xa0\xa0the designated therapeutic area pipeline and the competitive landscape;\nBe considered a field-based expert by \xa0\xa0internal & external customers; and\nDisseminate knowledge and share information \xa0\xa0as appropriate (within compliance \xa0\xa0regulations), including through internal and external presentations;\nFacilitate training and education of relevant \xa0\xa0stakeholders.\nContribute to data gap/insights, and data generation \xa0\xa0activities\nAbility \xa0\xa0to be a part of the review and approval process for materials (as required).\n, \nPrior Pharmaceutical or Biotech industry experience (medical, clinical or specialty products expertise)\nAbility to apply and leverage scientific and medical knowledge is essential, especially in the clinical setting\nExperience in therapy area is desirable (especially Immunology, Hemo-Oncology, \xa0\xa0critical care etc)\nExcellent presentation, interpersonal and communication skills\nFamiliar with data generation/ clinical trial processes\nDemonstrated ability to manage relationships with external experts\nDemonstrated business planning ability and strong organizational skills\nDemonstrated innovative thinking\nDemonstrated working knowledge of regulations governing information provision/interactions with customers within the \xa0\xa0pharmaceutical industry and in Asia South Countries\nStrong medical governance capabilities.\n, \nAbility to work independently & be self-motivating\nGood communication skills (including presentation skills)\nStrong ability to interpret scientific data\nAble to bridge and balance medical insights with business solutions.\nCustomer focus\nTeam work\nBuilding Relationships\nInfluence\nFlexible Thinking\nGovernance experience\nLanguage\nEnglish: \xa0business level (preferred)\n, \nThis role will require offsite attendance at meetings, conferences, exhibitions in Asia and significant international travel. The position description provides a summary of key features of the role. It may be varied as necessary by the Company from time to time.\nAnticipated up to 60% travel time\n']"
9,[b'MCF-2020-0059093'],[b'Permanent'],[b'Sales Executive (Analytical /  Life Science) '],[b'CHEMOSCIENCE PTE LTD'],[b'Posted 10 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$2,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$4,000</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Junior Executive'],[b'Healthcare / Pharmaceutical'],"['\nMeet team and individual goals.\nMaintain sales targets with integrated sales quota planning – and analyze the actual sales pipeline against planned.\nEnsure development of strategy for portfolio of products.\nIdentify key account customers, exploring opportunities for the product portfolio.\nCarry out 70% of time on field visits to potential customers\nCarry out all activities as listed in the Sales and Marketing Plan including planning, preparing sales tools and organizing presentation to targeted groups\nExpand existing customer base for the portfolio of products\nIdentify leads and market potential to expand customer base, through exploration of the market\nMaintain customer database.\nBuild good rapport with customers\n, \nAt least a degree in Biotechnology, Medical Sciences, Business or related courses\nExceptional negotiation and analytical skills paired with strong organization, self-management and decision-making skills are key for this position\nFluent in verbal and written communication skills in English\nSales experience in laboratory instruments or furniture will be an added advantage\nExperience handling government tenders is preferred\nAble to travel extensively within the country\n']"
