Emp_Type,Job_Title,Company,Date_Posted,Salary_Type,Year_Experience,Seniority,Category,Requirements,Min_Salary,Max_Salary,Avg_Salary
"Contract, Full Time","Scientist (Machine Intellection), I2R",A*STAR RESEARCH ENTITIES,Posted 27 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"Developing, enhancing, automating, and managing analytics modelsCreating visualizations to unveils insight faster and effectively.Develop practical data-driven solutionsPerform data cleanup, normalization and transformation and examine data from multiple diverse data sourcesProcess optimization design based on historical dataEnsure the integrity and security of institutional data, PhD in Computer Science, Mathematics and/or Statistics degree, Electrical Engineering, Physics, Civil Engineering, Chemical, Biochemical Engineering, with experience in data analyticsExpertise in problem formulation and solvingExperience working in a field related to statistics or data miningExperience performing data manipulation and pattern analysisExperience in applying Machine Learning algorithmsProficiency in multiple programming languages, with particular emphasis on Python, R, Matlab, Java, and SQLExperience in working in a cross-functional team environment with multifunctional stakeholderExcellent written and verbal communication skillsAbility to work independently, as well as in teams, highly desired",4500.0,9000.0,6750.0
"Contract, Full Time","Scientist (Machine Intellection), I2R",A*STAR RESEARCH ENTITIES,Posted 27 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"Protein nodes discovering in cancerBiomarker detection and clusteringCorrelation analysis, 2/3/4D image segmentationImage based measurementGene sequence analysisAnomaly detection, PhD in Computer Science, Statistics, or Data ScienceStrong knowledge in deep learning applied to healthcare domainExpertise in one or more healthcare and medicine topics, such as survival rate prediction, biomarker detection, 3D segmentation, etcAbility to work independently, as well as in teams highly desiredGood communication skills for proposals, reports, and publicationsProficiency in spoken and written EnglishExperience with one of TensorFlow, Pytorch, Theano, Caffe, CNTKStrong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB)Experience with machine learning at scale is a plus",4500.0,9000.0,6750.0
Permanent,"Data Science Experimentation Specialist, Apple Media Products",APPLE SOUTH ASIA PTE. LTD.,Posted 26 Mar 2020,Monthly,10 years  exp,Executive,Engineering,,8000.0,16000.0,12000.0
Permanent,"Data Science Experimentation Specialist, Apple Media Products",APPLE SOUTH ASIA PTE. LTD.,Posted 26 Mar 2020,Monthly,5 years  exp,Executive,Engineering,,6000.0,11000.0,8500.0
Full Time,Data Scientist ,IBM INNOVATION SERVICES PTE. LTD.,Posted 26 Mar 2020,Monthly,3 years  exp,Professional,Information Technology,"You  will lead in designing and developing systems and processes to  consolidate and analyse both structured and unstructured data from  diverse data sources to generate actionable insightsCollaborate  with shared services team and subject matter experts (SMEs) to drive  and operationalize analytical and cognitive prototypes, You  will enable the team in ensuring that we continue to be at the  frontline of applying the latest technologies in data science,  artificial intelligence and cognitive fieldsIdentify  new data sources for generating meaningful insights from multiple  sources; interpret and communicate insights and findings from analysis  and experiments to IBM teams and stakeholdersDevelop models and perform statistical analysis to identify key areas across a range of Quote to Cash functionsDesign  and implement users tracking and feedback mechanisms to capture actions  and analyse the impact on business outcomes, following implementation  and deployment of analytics and cognitive solutionsDesign, build, test and deploy scalable and efficient Spark ecosystem componentsMonitor Spark cluster for performance and capacity planning, A  Degree in a quantitative field (Statistics, Mathematics, Operations  Research, Economics, Bioinformatics, Computer Science, etc). A  postgraduate degree involving research in quantitative field will be a  plus.3-5 years of experience in working with data sets to build statistical modelsStrong statistical skills such as in probability theories, descriptive statistics, hypothesis testing, regression, etcExcellent  understanding of machine learning techniques and algorithms such as  Logistic Regression, Decision Trees, Random Forrest, Support Vector  Machines, and ClusteringExpertise  in various data science methods (i.e. CRISP-DM, data understanding  & preparation, feature engineering, as well as model training,  evaluation and validation)Experience  with common data science languages and libraries such as R, Python  (NumPy, Pandas, Scikit), SQL, noSQL, Scala, Weka, MatLab, etcExperience with data visualization techniques and tools such as Cognos Analytics, Tableau, Plotly, etcFamiliarity  with data science and cloud platforms such as but not limited to IBM  Cloud products (e.g. Watson Assistant, Watson Studio, Bluemix, etc)Knowledge in data mining and data engineering techniquesGreat communication (oral and written) skills and strong team playerAbility to learn new techniques and thrive in fast-changing environmentAbility to translate complex and abstract problems into technical requirements, Experience with NoSQL databases such as Cloudant, MongoDB, Cassandra, HBaseExperience with distributed computing tools like the Hadoop stack, Spark, Pig, Hive etc.Experience working with Linux environment, command line tools and scripting languages such as BashExperience with Deep Learning frameworks such as TensorFlow, Caffe, CNTK, Torch, DL4J, etc",6500.0,12000.0,9250.0
Full Time,Data Engineer,PUMAS AUTOMATION & ROBOTICS PTE LTD,Posted 26 Mar 2020,Monthly,2 years  exp,Professional,"Consulting, Engineering, Information Technology","Develop and design the architecture for IIoT data ingestion and processing to build smart factory solutions.Provide our customers and the team with data analytics and intelligence.Engineer and deploy scalable infrastructure and big-data tools to enable applications such as real-time abnormally detection and predictive capabilities., Background in computer science or engineering.Ability to pull data from many different sources, analyze, extract, normalize, and organize      relevant information.Deep knowledge of descriptive, diagnostic, predictive and prescriptive data analytics.Industry experience in data science and analysis, exposure to structured, semi-structured and non-structured data.Good knowledge of Python and analytics libraries. Additional knowledge in web technologies JavaScript, REST, Java and .net is a plus.Good understanding of software development life cycle, from defining user requirements to      testing and deployment.Sound knowledge of Machine Learning (ML), building Deep Learning (DL) models a plus.Experience with manufacturing data a plus.Exposure to Big data technology eg. Cassandra, Hadoop, Apache Spark.Previous exposure to IaaS platforms such as Azure, Google and AWS.",3500.0,6000.0,4750.0
Permanent,Data Scientist,SINGAPORE TECHNOLOGIES ENGINEERING LTD,Posted 26 Mar 2020,Monthly,5 years  exp,Manager,Information Technology,,8000.0,10500.0,9250.0
Permanent,Data Scientist,SINGAPORE TECHNOLOGIES ENGINEERING LTD,Posted 26 Mar 2020,Monthly,4 years  exp,Manager,Information Technology,,5500.0,8000.0,6750.0
"Contract, Full Time",Senior Research Engineer (Computer Science),NANYANG TECHNOLOGICAL UNIVERSITY,Posted 26 Mar 2020,Monthly,5 years  exp,Manager,Information Technology,"Data mining from massive data from documents to gain insights and identify patternsDesign and implement artificial intelligence (AI) and machine learning (ML) engines through in-depth research and experimentsApplication of AI and ML in knowledge and information retrieval (IR), relevancy ranking with spatiotemporal considerationConduct âtranslationalâ research to apply the state-of-the-art solutions at scale for real world challengesDocumentation and scientific reportingMentoring junior staff, PhD in computer scienceMinimum 5 years software development experienceExperience and excellent research background in AI, ML, data science and related areasPassionate about AI-related research, innovations and their applicationsProficient in one or more programming languages (e.g., Python, C/C++, etc.) and research packages/modulesExperience in large-scale text processing and analyticsGood track records in publication",5500.0,8250.0,6875.0
Contract,Solution Architect,PM-PARTNERS SINGAPORE PTE. LTD.,Posted 26 Mar 2020,Monthly,2 years  exp,Senior Executive,Information Technology,,5000.0,7000.0,6000.0
