Emp_Type,Job_Title,Company,Year_Experience,Seniority,Category,Requirements,Min_Salary,Max_Salary,Avg_Salary,Cat_num
"Contract, Permanent","Scientist (Machine Intellection), I2R",A*STAR RESEARCH ENTITIES,,Professional,"Sciences , Laboratory , R&D","   Developing, enhancing, automating, and managing analytics models Creating visualizations to unveils insight faster and effectively. Develop practical data-driven solutions Perform data cleanup, normalization and transformation and examine data from multiple diverse data sources Process optimization design based on historical data Ensure the integrity and security of institutional data ,  PhD in Computer Science, Mathematics and/or Statistics degree, Electrical Engineering, Physics, Civil Engineering, Chemical, Biochemical Engineering, with experience in data analytics Expertise in problem formulation and solving Experience working in a field related to statistics or data mining Experience performing data manipulation and pattern analysis Experience in applying Machine Learning algorithms Proficiency in multiple programming languages, with particular emphasis on Python, R, Matlab, Java, and SQL Experience in working in a cross-functional team environment with multifunctional stakeholder Excellent written and verbal communication skills Ability to work independently, as well as in teams, highly desired   ",4500.0,9000.0,6750.0,2
"Contract, Permanent","Scientist (Machine Intellection), I2R",A*STAR RESEARCH ENTITIES,,Professional,"Sciences , Laboratory , R&D","   Protein nodes discovering in cancer Biomarker detection and clustering Correlation analysis ,  2/3/4D image segmentation Image based measurement Gene sequence analysis Anomaly detection ,  PhD in Computer Science, Statistics, or Data Science Strong knowledge in deep learning applied to healthcare domain Expertise in one or more healthcare and medicine topics, such as survival rate prediction, biomarker detection, 3D segmentation, etc Ability to work independently, as well as in teams highly desired Good communication skills for proposals, reports, and publications Proficiency in spoken and written English Experience with one of TensorFlow, Pytorch, Theano, Caffe, CNTK Strong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB) Experience with machine learning at scale is a plus   ",4500.0,9000.0,6750.0,2
Permanent,"Data Science Experimentation Specialist, Apple Media Products",APPLE SOUTH ASIA PTE. LTD.,10 years  exp,Executive,Engineering,    ,8000.0,16000.0,12000.0,0
Permanent,"Data Science Experimentation Specialist, Apple Media Products",APPLE SOUTH ASIA PTE. LTD.,5 years  exp,Executive,Engineering,    ,6000.0,11000.0,8500.0,0
Permanent,Data Scientist ,IBM INNOVATION SERVICES PTE. LTD.,3 years  exp,Professional,Information Technology,"   You  will lead in designing and developing systems and processes to  consolidate and analyse both structured and unstructured data from  diverse data sources to generate actionable insights Collaborate  with shared services team and subject matter experts (SMEs) to drive  and operationalize analytical and cognitive prototypes ,  You  will enable the team in ensuring that we continue to be at the  frontline of applying the latest technologies in data science,  artificial intelligence and cognitive fields Identify  new data sources for generating meaningful insights from multiple  sources; interpret and communicate insights and findings from analysis  and experiments to IBM teams and stakeholders Develop models and perform statistical analysis to identify key areas across a range of Quote to Cash functions Design  and implement users tracking and feedback mechanisms to capture actions  and analyse the impact on business outcomes, following implementation  and deployment of analytics and cognitive solutions Design, build, test and deploy scalable and efficient Spark ecosystem components Monitor Spark cluster for performance and capacity planning ,  A  Degree in a quantitative field (Statistics, Mathematics, Operations  Research, Economics, Bioinformatics, Computer Science, etc). A  postgraduate degree involving research in quantitative field will be a  plus. 3-5 years of experience in working with data sets to build statistical models Strong statistical skills such as in probability theories, descriptive statistics, hypothesis testing, regression, etc Excellent  understanding of machine learning techniques and algorithms such as  Logistic Regression, Decision Trees, Random Forrest, Support Vector  Machines, and Clustering Expertise  in various data science methods (i.e. CRISP-DM, data understanding  & preparation, feature engineering, as well as model training,  evaluation and validation) Experience  with common data science languages and libraries such as R, Python  (NumPy, Pandas, Scikit), SQL, noSQL, Scala, Weka, MatLab, etc Experience with data visualization techniques and tools such as Cognos Analytics, Tableau, Plotly, etc Familiarity  with data science and cloud platforms such as but not limited to IBM  Cloud products (e.g. Watson Assistant, Watson Studio, Bluemix, etc) Knowledge in data mining and data engineering techniques Great communication (oral and written) skills and strong team player Ability to learn new techniques and thrive in fast-changing environment Ability to translate complex and abstract problems into technical requirements ,  Experience with NoSQL databases such as Cloudant, MongoDB, Cassandra, HBase Experience with distributed computing tools like the Hadoop stack, Spark, Pig, Hive etc. Experience working with Linux environment, command line tools and scripting languages such as Bash Experience with Deep Learning frameworks such as TensorFlow, Caffe, CNTK, Torch, DL4J, etc   ",6500.0,12000.0,9250.0,0
Permanent,Data Engineer,PUMAS AUTOMATION & ROBOTICS PTE LTD,2 years  exp,Professional,"Consulting, Engineering, Information Technology","   Develop and design the architecture for IIoT data ingestion and processing to build smart factory solutions. Provide our customers and the team with data analytics and intelligence. Engineer and deploy scalable infrastructure and big-data tools to enable applications such as real-time abnormally detection and predictive capabilities. ,  Background in computer science or engineering. Ability to pull data from many different sources, analyze, extract, normalize, and organize      relevant information. Deep knowledge of descriptive, diagnostic, predictive and prescriptive data analytics. Industry experience in data science and analysis, exposure to structured, semi-structured and non-structured data. Good knowledge of Python and analytics libraries. Additional knowledge in web technologies JavaScript, REST, Java and .net is a plus. Good understanding of software development life cycle, from defining user requirements to      testing and deployment. Sound knowledge of Machine Learning (ML), building Deep Learning (DL) models a plus. Experience with manufacturing data a plus. Exposure to Big data technology eg. Cassandra, Hadoop, Apache Spark. Previous exposure to IaaS platforms such as Azure, Google and AWS.   ",3500.0,6000.0,4750.0,2
Permanent,Data Scientist,SINGAPORE TECHNOLOGIES ENGINEERING LTD,5 years  exp,Manager,Information Technology,    ,8000.0,10500.0,9250.0,0
Permanent,Data Scientist,SINGAPORE TECHNOLOGIES ENGINEERING LTD,4 years  exp,Manager,Information Technology,    ,5500.0,8000.0,6750.0,0
"Contract, Permanent",Senior Research Engineer (Computer Science),NANYANG TECHNOLOGICAL UNIVERSITY,5 years  exp,Manager,Information Technology,"   Data mining from massive data from documents to gain insights and identify patterns Design and implement artificial intelligence (AI) and machine learning (ML) engines through in-depth research and experiments Application of AI and ML in knowledge and information retrieval (IR), relevancy ranking with spatiotemporal consideration Conduct âtranslationalâ research to apply the state-of-the-art solutions at scale for real world challenges Documentation and scientific reporting Mentoring junior staff ,  PhD in computer science Minimum 5 years software development experience Experience and excellent research background in AI, ML, data science and related areas Passionate about AI-related research, innovations and their applications Proficient in one or more programming languages (e.g., Python, C/C++, etc.) and research packages/modules Experience in large-scale text processing and analytics Good track records in publication   ",5500.0,8250.0,6875.0,0
Contract,Solution Architect,PM-PARTNERS SINGAPORE PTE. LTD.,2 years  exp,Senior Executive,Information Technology,    ,5000.0,7000.0,6000.0,0
