Job_Id,Emp_Type,Job_Title,Company,Year_Experience,Seniority,Category,Requirements,Min_Salary,Max_Salary,Avg_Salary,Salary_range
MCF-2020-0045240,Contract Permanent,Scientist (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,0,Professional,Sciences  Laboratory  R&D,Developing models Creating visualizations effectively. Develop - Perform sources Process data Ensure data PhD Computer Science Mathematics / Statistics degree Electrical Engineering Physics Civil Engineering Chemical Biochemical Engineering data analytics Expertise solving Experience statistics data mining Experience manipulation Experience applying Machine Learning algorithms Proficiency languages Python R Matlab Java SQL Experience - stakeholder Excellent written verbal communication Ability independently well teams highly desired,4500.0,9000.0,6750.0,Med
MCF-2020-0045289,Contract Permanent,Scientist (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,0,Professional,Sciences  Laboratory  R&D,Protein Biomarker Correlation analysis 2/3/4D image segmentation Image Gene Anomaly detection PhD Computer Science Statistics Data Science Strong deep learning applied Expertise topics detection 3D segmentation Ability independently well teams highly desired Good communication proposals reports publications Proficiency spoken written English Experience one TensorFlow Pytorch Theano Caffe CNTK Strong programming abilities (e.g. Perl Bash C/C++ Java Python R MATLAB) Experience machine plus,4500.0,9000.0,6750.0,Med
MCF-2020-0045282,Contract Permanent,Scientist (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,0,Professional,Sciences  Laboratory  R&D,Protein Biomarker Correlation analysis 2/3/4D image segmentation Image Gene Anomaly detection PhD Computer Science Statistics Data Science Strong deep learning applied Expertise topics detection 3D segmentation Ability independently well teams highly desired Good communication proposals reports publications Proficiency spoken written English Experience one TensorFlow Pytorch Theano Caffe CNTK Strong programming abilities (e.g. Perl Bash C/C++ Java Python R MATLAB) Experience machine plus,4500.0,9000.0,6750.0,Med
MCF-2020-0072490,Permanent,Data Science Experimentation Specialist Apple Media Products,APPLE SOUTH ASIA PTE. LTD.,10,Sr Executive,Engineering,,8000.0,16000.0,12000.0,High
MCF-2020-0072489,Permanent,Data Science Experimentation Specialist Apple Media Products,APPLE SOUTH ASIA PTE. LTD.,5,Sr Executive,Engineering,,6000.0,11000.0,8500.0,High
MCF-2020-0071809,Permanent,Data Scientist,IBM INNOVATION SERVICES PTE. LTD.,3,Professional,Information Technology,You   processes   unstructured data   sources insights Collaborate   matter experts (SMEs) drive   analytical You     science  artificial intelligence Identify  new data sources multiple  sources; interpret   experiments IBM Develop models analysis Quote Cash functions Design   tracking   business   Design efficient Spark Monitor Spark A  Degree quantitative field (Statistics Mathematics Operations  Research Economics Bioinformatics Computer Science ). A   field  plus. 3-5 working data sets models Strong statistical Excellent  understanding machine learning  Logistic Regression Decision Trees Random Forrest Support Vector  Machines Clustering Expertise   various data (.e. CRISP-DM  &  ) Experience   libraries R Python  (NumPy Pandas Scikit) SQL noSQL Scala Weka MatLab Experience data visualization techniques tools Cognos Analytics Tableau Plotly Familiarity   data science limited IBM  Cloud products (e.g. Watson Assistant Watson Studio Bluemix ) Knowledge data mining data Great communication (oral written) strong player Ability learn fast- Ability problems Experience NoSQL databases Cloudant MongoDB Cassandra HBase Experience distributed like Hadoop stack Spark Pig Hive . Experience working Linux languages Bash Experience Deep Learning frameworks TensorFlow Caffe CNTK Torch DL4J,6500.0,12000.0,9250.0,High
MCF-2020-0072203,Permanent,Data Engineer,PUMAS AUTOMATION & ROBOTICS PTE LTD,2,Professional,Consulting Engineering Information Technology,Develop architecture IIoT . Provide . Engineer - real- detection . Background computer science engineering. Ability      . Deep predictive data analytics. Industry data science --. Good Python . Additional JavaScript REST Java .. Good cycle requirements      . Sound Machine Learning (ML) building Deep Learning (DL) . Experience plus. Exposure Big eg. Cassandra Hadoop Apache Spark. Previous exposure IaaS platforms Azure Google AWS.,3500.0,6000.0,4750.0,Low
MCF-2020-0071983,Permanent,Data Scientist,SINGAPORE TECHNOLOGIES ENGINEERING LTD,5,Management,Information Technology,,8000.0,10500.0,9250.0,High
MCF-2020-0071980,Permanent,Data Scientist,SINGAPORE TECHNOLOGIES ENGINEERING LTD,4,Management,Information Technology,,5500.0,8000.0,6750.0,Med
MCF-2020-0072360,Contract Permanent,Senior Research Engineer (Computer Science),NANYANG TECHNOLOGICAL UNIVERSITY,5,Management,Information Technology,Data mining identify patterns Design intelligence (AI) machine learning (ML) - experiments Application AI ML information retrieval (IR) Conduct âtranslationalâ state--- Documentation Mentoring PhD computer science Minimum 5 software development Experience background AI ML data science Passionate AI- applications Proficient one programming languages (e.g. Python C/C++ .) /modules Experience large- Good publication,5500.0,8250.0,6875.0,Med
