Job_Id,Emp_Type,Job_Title,Company,Date_Posted,Year_Experience,Seniority,Category,Requirements,Min_Salary,Max_Salary,Avg_Salary,Salary_range
MCF-2020-0045240,Contract Permanent,Scientist (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,Posted 27 Mar 2020,0,Professional,Sciences  Laboratory  R&D,Developing models Creating effectively. Develop - Perform data sources Process Ensure data PhD Computer Science Mathematics / Statistics degree Electrical Engineering Physics Civil Engineering Chemical Biochemical Engineering data analytics Expertise solving Experience statistics data mining Experience Experience applying Machine Learning algorithms Proficiency languages Python R Matlab Java SQL Experience - stakeholder Excellent written verbal communication Ability independently well teams highly desired,4500.0,9000.0,6750.0,Med
MCF-2020-0045289,Contract Permanent,Scientist (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,Posted 27 Mar 2020,0,Professional,Sciences  Laboratory  R&D,Protein Biomarker Correlation analysis 2/3/4D image segmentation Image Gene analysis Anomaly detection PhD Computer Science Statistics Data Science Strong deep learning applied Expertise 3D segmentation Ability independently well teams highly desired Good communication proposals reports publications Proficiency spoken written English Experience one TensorFlow Pytorch Theano Caffe CNTK Strong programming abilities (e.g. Perl Bash C/C++ Java Python R MATLAB) Experience,4500.0,9000.0,6750.0,Med
MCF-2020-0045282,Contract Permanent,Scientist (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,Posted 27 Mar 2020,0,Professional,Sciences  Laboratory  R&D,Protein Biomarker Correlation analysis 2/3/4D image segmentation Image Gene analysis Anomaly detection PhD Computer Science Statistics Data Science Strong deep learning applied Expertise 3D segmentation Ability independently well teams highly desired Good communication proposals reports publications Proficiency spoken written English Experience one TensorFlow Pytorch Theano Caffe CNTK Strong programming abilities (e.g. Perl Bash C/C++ Java Python R MATLAB) Experience,4500.0,9000.0,6750.0,Med
MCF-2020-0071809,Permanent,Data Scientist,IBM INNOVATION SERVICES PTE. LTD.,Posted 26 Mar 2020,3,Professional,Information Technology,You   processes   unstructured data   Collaborate   (SMEs) drive   analytical You     science  artificial intelligence Identify  new data  sources;   experiments IBM Develop Quote Cash functions Design     implementation   Design Spark Monitor Spark performance A  Degree (Statistics Mathematics Operations  Research Economics Bioinformatics Computer Science ). A   field  plus. 3-5 working data Strong statistical Excellent  understanding machine learning techniques algorithms  Logistic Regression Decision Trees Random Forrest Support Vector  Machines Clustering Expertise   (.e. CRISP-DM  &  ) Experience   libraries R Python  (NumPy Pandas Scikit) SQL noSQL Scala Weka MatLab Experience data visualization Cognos Analytics Tableau Plotly Familiarity   data IBM  Cloud products (e.g. Watson Assistant Watson Studio Bluemix ) Knowledge data mining data Great communication (oral written) strong player Ability - Ability problems Experience NoSQL databases Cloudant MongoDB Cassandra HBase Experience Hadoop stack Spark Pig Hive . Experience working Linux Bash Experience Deep Learning frameworks TensorFlow Caffe CNTK Torch DL4J,6500.0,12000.0,9250.0,High
MCF-2020-0072203,Permanent,Data Engineer,PUMAS AUTOMATION & ROBOTICS PTE LTD,Posted 26 Mar 2020,2,Professional,Consulting Engineering Information Technology,Develop architecture IIoT . Provide . Engineer - real- detection . Background computer science engineering. Ability      . Deep analytics. Industry data science --. Good Python . Additional JavaScript REST Java .. Good understanding software development life      . Sound Machine Learning (ML) building Deep Learning (DL) . Experience plus. Exposure Big eg. Cassandra Hadoop Apache Spark. Previous exposure IaaS platforms Azure Google AWS.,3500.0,6000.0,4750.0,Low
MCF-2020-0072360,Contract Permanent,Senior Research Engineer (Computer Science),NANYANG TECHNOLOGICAL UNIVERSITY,Posted 26 Mar 2020,5,Management,Information Technology,Data identify patterns Design intelligence (AI) machine learning (ML) - experiments Application AI ML (IR) Conduct âtranslationalâ state--- Documentation Mentoring PhD computer science Minimum 5 software development Experience background AI ML data science Passionate AI- applications Proficient one programming languages (e.g. Python C/C++ .) / Experience large- Good publication,5500.0,8250.0,6875.0,Med
MCF-2020-0072378,Contract Permanent,Research Engineer (Deep Learning 2.0) I2R,A*STAR RESEARCH ENTITIES,Posted 26 Mar 2020,0,Jr Executive,Sciences  Laboratory  R&D,Minimum Bachelor Computer Science Statistics Data Science : Experience corporate application oriented environments plus Ability independently well teams highly desired Good communication proposals reports publications Experience one Tensor Flow Theano Caffe CNTK. Skills Strong programming abilities (e.g. Perl Bash C/C++ Java Python R MATLAB) Computer vision deep,3900.0,7800.0,5850.0,Med
MCF-2020-0071969,Contract Permanent,Senior Research Engineer (Computer Science),NANYANG TECHNOLOGICAL UNIVERSITY,Posted 26 Mar 2020,5,Management,Information Technology,Design language processing (NLP) analysis e.g. - Application NLP (IR) Conduct âtranslationalâ state--- Documentation Mentoring PhD computer science Minimum 5 software development Experience background NLP Passionate NLP AI applications Proficient one programming languages (e.g. Python C/C++ .) / Experience large- Good publication,5500.0,8250.0,6875.0,Med
MCF-2020-0072375,Contract Permanent,Senior /  Research Engineer (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,Posted 26 Mar 2020,0,Professional,Sciences  Laboratory  R&D,Biomarker ; Correlation analysis. 2/3D image segmentation; Image ; Gene analysis; Anomaly detection Bachelors Masters Computer Science Statistics Data Science intensive fields Strong deep learning applied ; Expertise image . Ability independently well teams highly desired. Good communication proposals reports publications. Proficiency spoken written English. Strong programming abilities (e.g. Perl Bash C/C++ Java Python R MATLAB). Experience one TensorFlow Pytorch Theano Caffe CNTK Skills Experience,3900.0,7800.0,5850.0,Med
MCF-2020-0072372,Contract Permanent,Senior /  Research Engineer (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,Posted 26 Mar 2020,0,Jr Executive,Sciences  Laboratory  R&D,Biomarker ; Correlation analysis. 2/3D image segmentation; Image ; Gene analysis; Anomaly detection Bachelors Masters Computer Science Statistics Data Science intensive fields Strong deep learning applied ; Expertise image . Ability independently well teams highly desired. Good communication proposals reports publications. Proficiency spoken written English. Strong programming abilities (e.g. Perl Bash C/C++ Java Python R MATLAB). Experience one TensorFlow Pytorch Theano Caffe CNTK Skills Experience,3000.0,5500.0,4250.0,Low
JOB-2020-0000817,Permanent,Data Science & AI Programme Manager,GOVERNMENT TECHNOLOGY AGENCY,Posted 25 Mar 2020,0,Management,Information Technology Public  Civil Service,Drive across Whole--Government Data Science Develop best practices Data Science & AI Forge efforts Collaborate engage Data Science & AI Data Science- Strategize maintain Data Science & AI tools Whole--Government Manage includingâ limited toâ execution Degree Diploma Computer Science Information Technology equivalent Minimum 3 relevant IT consulting/ Experience - Good understanding Confident group Strong understanding Data Science & AI Big Data architecture Excellent English written Comfortable independently Knowledge Data Science Data Science & AI projects,5500.0,8000.0,6750.0,Med
MCF-2020-0071269,Permanent,Software Architect (Data Science),YOJEE PTE. LTD.,Posted 25 Mar 2020,2,Sr Executive,Engineering,Prototyping & logisticsâ planning NP- . Build data . Basic preparation. Build . Build solutions Big Data time. Minimum Bachelor Degree Computer Science Computer Engineering equivalent . Minimum 2 machine learning data analysis. Proficient software ; Python Scala Java SQL scikit-learn MapReduce Spark Apache Hadoop. Knowledge Big Data Frameworks Spark Hadoop . Proficient ; Regression Clustering Classification . Experience software . Ability distributed . Singaporeans PRs . Scikit-learn. Machine learning . Scala Java. Proficient ; Regression Clustering Classification .,5700.0,7400.0,6550.0,Med
MCF-2020-0070847,Permanent,Manager (Data Security) (JD#5939),SCIENTE INTERNATIONAL PTE. LTD.,Posted 25 Mar 2020,5,Management,Information Technology,Degree Computer Science Engineering Information Technology Information Security Data Science; Minimum 3 relevant Data standards; Good Information Security Governance Risk Management Compliance Regulatory ; Knowledge ; Some ; Ability enterprise ; Well communication ; Should proactive . CISSP CISM CISA certifications; Experience data science data platforms. Design processes ; Work Data Security Enterprise Data Ecosystem; Ensure risk ( ) ; Understand / data ; Engage ; Work Security Practitioners .,4500.0,8000.0,6250.0,Med
MCF-2020-0070901,Contract Permanent,Data Scientist (Scientific Infrastructure and Analytics) ICES,A*STAR RESEARCH ENTITIES,Posted 25 Mar 2020,2,Jr Executive,Sciences  Laboratory  R&D,Work data / Collaborate IT completeness data. Apply scientific . Work / self-service. Work ICES Act /. Support - data- data- analysis Be models Actively business IT network PhD Masters Degree Science Computer Science . (Experience 2-5 (PhD) 5 (Masters) Ability high . Working Strong data management data . Knowledge programming R Python JAVA C++ Python .NET SQL Working Artificial Neural Networks (ANNs) Genetic Algorithms (GAs) Swarm Intelligence Multi- Optimizations Fuzzy Logic Systems Good Excellent communication oral written Flexibility Ability plan/ documentation Ability --,4500.0,9000.0,6750.0,Med
JOB-2019-0181900,Permanent,Infrastructure Engineer Infrastructure Data & Platform,GOVERNMENT TECHNOLOGY AGENCY,Posted 25 Mar 2020,0,Management,Information Technology Public  Civil Service,Key new Whole-Of-Government services Responsible development real- data Data Analysts Collaborate stakeholders Whole-Of-Government Degree Computer Science Computer Electronics Engineering Information Technology disciplines Minimum 3 relevant IT IT Familiar frameworks Spark Good languages Python Java Scala Strong command SQL NoSQL Experience data warehousing The : Building ETL tools Informatica NiFi Flink Ability Hadoop Hortonworks Cloudera Experience data Python Pandas Numpy Seaborn Understand ICT domain Enterprise ADPowershell / Bash scripting  Building ETL tools Informatica NiFi Flink Ability Hadoop Hortonworks Cloudera Experience data Python Pandas Numpy Seaborn Understand ICT domain Enterprise ADPowershell / Bash scripting  Good analytical problem solving,5000.0,10000.0,7500.0,Med
MCF-2020-0071259,Permanent,Manager Digital Experience - Global Finance,JOHNSON & JOHNSON PTE. LTD.,Posted 25 Mar 2020,5,Management,Information Technology,Identify Formulate use Develop Human Centric experiences Understanding data Science capabilities Recommendation Engine Manage engage SMEs IT Drive Iterative testing Work Define management Maintain features Digital Platform Governance Keep -- data analytics data science 5 8 relevant UX human- Experience Design Thinking / Human- Design Operational - problem-solving Proven track record . Ability variety Exceptional interpersonal communication ( written verbal) . Experience -technical Energetic problem- Working BI platform Strong program Strong Good -functional Advanced Structured problem- Result Working understanding Agile Individual Ability Good written,8000.0,16000.0,12000.0,High
JOB-2020-0000812,Permanent,DevOps Engineer (Enterprise Information Management),GOVERNMENT TECHNOLOGY AGENCY,Posted 25 Mar 2020,0,Management,Information Technology Public  Civil Service,Provide production operational Participate data data science Develop system Perform Build Continuous Integration Delivery (CI/CD) Liaise / issues Degree Diploma Computer Science Information Technology disciplines Hands- SQL Microsoft Business Intelligence data : SQL Server Integration Services (SSIS) SQL Server Analytics Services (SSAS) SQL Server Reporting Services (SSRS) Power BI Sharepoint  Team Foundation Studio JIRA Experience one : Virtualisation (e.g. VMWare VSphere products) Container Technologies (e.g. Docker) Secure / Automated testing Big Data platforms (e.g. Hadoop Git) Scripting languages (e.g. PowerShell R Python) .NET programming Agile Continuous Integration tools Team () SQL Server Integration Services (SSIS) SQL Server Analytics Services (SSAS) SQL Server Reporting Services (SSRS) Power BI Sharepoint  Team Foundation Studio JIRA Virtualisation (e.g. VMWare VSphere products) Container Technologies (e.g. Docker) Secure / Automated testing Big Data platforms (e.g. Hadoop Git) Scripting languages (e.g. PowerShell R Python) .NET programming Agile Continuous Integration tools,5000.0,8000.0,6500.0,Med
MCF-2020-0071117,Permanent,Lead Data Scientist (Fintech),MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Posted 25 Mar 2020,7,Management,Consulting Information Technology Sciences  Laboratory  R&D,Lead high- - Contribute Guide - Data Science Data Engineering research- scale Work fast- Working Singapore needed 7 1 exposure FinTech Minimum Masters PhD field (Computer Science Mathematics Engineering Artificial Intelligence .) Advanced learning models: Logistic Regression Support Vector Machines XGBoost Deep Learning models (CNNs/RNNs) Proficient scikit-learn Python Pandas Hadoop Spark SQL . Proficiency Amazon Web Services Proficiency Neo4J OrientDB AllegroGraph JanusDB . Additional proficiency Natural Language Processing Additional proficiency Keras TensorFlow Caffe Torch/PyTorch Spark MLlib Deep Learning framework Track .,8000.0,10000.0,9000.0,High
JOB-2020-0000816,Permanent,Software Engineer Artificial Intelligence Platforms,GOVERNMENT TECHNOLOGY AGENCY,Posted 25 Mar 2020,0,Management,Information Technology Public  Civil Service,Build Design Write code Manage () - Learn - Establish best practices Share engineers Help Rapid Prototyping - Instead . This . Ownership - In . Building . Continuous Learning - Working working . Taking new . Have software Can problems Can Have science machine learning Take Want public,5000.0,8500.0,6750.0,Med
MCF-2020-0071562,Contract Permanent,Digital Product Specialist (Banking),OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Posted 25 Mar 2020,8,Professional,Information Technology,Masters CUSTOMER JOURNEY .e. Customer Experience & Journey optimization Products Services Channel / Segment Optimization Business IT Delivery Develops services well New product/ / lead . (New) risk compliance Improvements new . Customer Uses / technical ( ) Applies / Keeps ( ) Weighs products services -products. Initiates Prioritizes Digital Studio lead Monitors requirements Minimum 7- Minimum 3-5 engineering data science software engineering Background UX preferred Experience Product Owner / Product Manager Strong software Experience Agile Strong leadership Excellent communication Must player Strong Demonstrated think Brings high- Able comfortable & Passion innovation â doâ attitude,10000.0,12000.0,11000.0,High
MCF-2020-0071595,Permanent,Investment Analyst,LEGEND ASSET MANAGEMENT PTE. LTD.,Posted 25 Mar 2020,0,Sr Executive,Banking  Finance,We - .  Work Develop test Demonstrated Strong Excellent requirements Post- business analytics Completed process CFA Program,4500.0,6000.0,5250.0,Low
MCF-2020-0070394,Contract Permanent,IT - Data Science Analyst,NTT DATA SINGAPORE PTE. LTD.,Posted 24 Mar 2020,1,Sr Executive,Information Technology,A university Statistics/ Data Science/ Computing/Engineering strong background A understanding NLP concepts Python Pyspark Spark SQL/mysql Hadoop -system (Hive HDFS Pig .) End Familiarity Linux system Knowledge software development life Experience datasets Experience unstructured data,5000.0,8500.0,6750.0,Med
MCF-2020-0070586,Permanent,Senior Staff Data Scientist,SEAGATE SINGAPORE INTERNATIONAL HEADQUARTERS PTE. LTD.,Posted 24 Mar 2020,7,Professional,Engineering Manufacturing Sciences  Laboratory  R&D,Work subject  Data Mining Machine Learning Statistics Execute Industry 4.0 Prognostics Health Management projects Seagate APAC Operations stakeholders Technical science Deep Learning Develop data Design develop machine learning deep learning algorithms Leverage /  data mining machine learning Quantify Provide Highly proficient Python SQL R Solid learning deep learning data mining data structures Hands- Keras Tensorflow XGBoost CNN GAN RNN Time Series Analysis Experience full- development. Knowledge Hadoop Spark. Ability infrastructure Version Git. Understanding Demonstrate Leadership â Ability Teamwork self-motivated. Self-. Ability . Ability well environment Strong oral written communication . Strong A non-native English Able Working : Industrial IoT Sensing & Devices Predictive Maintenance Prognostics & Health Management Industry 4.0 . Knowledge Time-series analysis Thesis predictive analytics  data  processing data- time- intelligence machine learning Proficiency Java JavaScript,7000.0,14000.0,10500.0,High
MCF-2020-0070323,Permanent,Finance Associate,NETFLIX PTE. LTD.,Posted 24 Mar 2020,5,Sr Executive,Banking  Finance,The Associate Manager Content Strategy & Analysis Southeast Asia based Singapore - Southeast Asia Content Team. Preparing ( testing .) Creative Business Affairs teams Conducting market Southeast Asia Conducting trends Regularly reports -- Compiling post- Working cross- CS&A well Product Marketing Consumer Insights Data Science teams Candidates required Candidates fast- ethics. Candidates 2-5 / media// strategy//. We - analysis Prior Media/Entertainment plus Prior Southeast Asian markets High strong Excel Familiarity analysis Adept High proficiency MS Excel & PowerPoint; Bachelor field English Bahasa / Thai,12000.0,15000.0,13500.0,High
